CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,715,"-1,189","1,641",-,"3,798.75",-518.40,195,"3,796.00","3,817.50",130,"19,000.00","36,530",0.95,1.00,"1,495",-0.55,1.00,72.21,"2,63,845","-16,947","69,531",
,"1,679",125,"1,079",-,"2,796.50",-501.80,65,"2,787.50","2,806.00",195,"20,000.00","2,340",1.65,1.85,"2,665",-1.65,1.85,57.22,"5,29,085","-6,793","2,24,990",
,2,-,-,-,"2,525.00",-,780,"2,271.40","2,382.25",780,"20,500.00","3,445",2.10,2.25,260,-2.20,2.25,48.69,"2,90,791","6,021","72,882",
,-,-,-,-,-,-,780,"2,117.20","2,382.45",780,"20,550.00","7,150",1.80,2.40,"1,755",-2.45,2.05,47.19,"32,310",53,"2,328",
,-,-,-,-,-,-,780,"2,124.95","2,321.10",780,"20,600.00","2,015",2.05,2.60,"1,755",-2.45,2.10,46.36,"54,264","-1,962","4,632",
,-,-,-,-,-,-,780,"2,033.00","2,273.40",780,"20,650.00","5,720",2.00,2.70,"1,755",-1.85,2.80,47.00,"29,966","-1,202","2,038",
,-,-,-,-,-,-,780,"1,976.70","2,165.10",780,"20,700.00",65,1.75,2.65,455,-2.75,1.95,44.03,"69,169",-588,"6,338",
,-,-,-,-,-,-,780,"1,932.90","2,159.70",780,"20,750.00","1,755",2.00,2.85,130,-2.45,2.60,44.59,"28,168",-257,"1,684",
,-,-,-,-,-,-,780,"1,750.00","2,105.15",780,"20,800.00","1,755",2.25,2.60,65,-3.00,2.20,42.72,"1,05,381","2,222","10,232",
,2,-4,6,96.83,"2,135.00",420.00,"1,690","1,826.65","2,041.40",780,"20,850.00",780,2.20,2.65,"3,055",-2.80,2.50,42.41,"39,022","-1,162","5,567",
,1,-,-,-,"1,747.05",-,780,"1,794.05","1,999.30","1,690","20,900.00","1,755",2.10,2.50,"1,755",-3.55,2.20,40.78,"92,953","1,436","8,496",
,3,-,-,-,"2,537.65",4.20,780,"1,659.65","1,953.40",780,"20,950.00","2,470",2.40,2.65,"1,755",-3.85,2.35,40.13,"66,724","2,892","10,357",
,"4,256","-1,085","4,574",-,"1,799.00",-502.30,65,"1,796.35","1,806.00",65,"21,000.00",325,2.45,2.55,"26,065",-3.90,2.55,39.55,"7,39,204","-13,878","1,09,522",
,2,-,-,-,"2,101.85",4.40,780,"1,631.25","1,844.10","1,690","21,050.00","4,290",2.15,2.30,"1,235",-4.50,2.25,37.96,"78,919","1,234","4,389",
,2,-,-,-,"1,550.00",-,780,"1,606.70","1,778.45",780,"21,100.00","1,755",2.15,2.35,"1,300",-5.00,2.30,37.09,"2,07,965",-501,"11,404",
,2,-,-,-,"2,005.80",4.40,"1,690","1,574.45","1,749.55",780,"21,150.00","1,040",1.80,2.60,"1,040",-5.50,2.40,36.31,"69,235",150,"3,342",
,2,-,-,-,"2,296.30",0.30,585,"1,487.20","1,665.00",780,"21,200.00","2,990",2.40,2.75,"1,885",-5.90,2.35,35.23,"3,66,126",102,"21,328",
,5,-,-,-,"1,744.30",-6.35,780,"1,397.80","1,620.75",780,"21,250.00","1,755",2.30,2.50,"1,560",-6.80,2.35,34.25,"1,19,196","3,500","7,984",
,1,-,-,-,"1,622.30",-3.85,780,"1,362.00","1,584.85",780,"21,300.00",65,2.40,2.70,"3,055",-6.85,2.80,34.04,"3,02,715","19,739","43,370",
,-,-,-,-,-,-,"1,690","1,370.00","1,527.10",780,"21,350.00",130,2.95,3.25,"1,755",-7.15,3.30,33.78,"1,05,461","2,513","6,838",
,8,-,3,74.63,"1,571.05",-357.55,"1,690","1,257.45","1,452.75",780,"21,400.00",325,3.10,3.65,"1,755",-8.30,3.35,32.83,"3,12,944","3,691","21,134",
,3,-1,1,82.00,"1,570.00",69.10,"1,690","1,231.00","1,391.55",715,"21,450.00","2,860",3.80,4.15,"1,755",-8.20,4.10,32.74,"1,65,671","2,978","8,749",
,"1,189",-22,822,-,"1,308.15",-503.65,780,"1,260.25","1,310.90",65,"21,500.00","1,235",4.45,4.60,780,-8.70,4.60,32.25,"9,77,725","8,290","1,11,627",
,5,-1,1,78.22,"1,470.00",74.20,"1,690","1,109.20","1,327.45",780,"21,550.00",65,5.15,5.40,"1,755",-9.70,5.10,31.68,"1,89,693","7,017","10,976",
,18,6,33,-,"1,201.60",-528.40,780,"1,163.85","1,242.55",780,"21,600.00","1,690",5.60,5.95,715,-9.90,5.90,31.32,"4,90,671","6,042","26,332",
,7,-,-,-,"1,315.60",-,780,"1,075.30","1,217.85",780,"21,650.00","1,300",6.00,7.10,130,-10.15,7.10,31.17,"1,95,940","1,724","7,510",
,28,-14,22,33.14,"1,149.60",-468.30,780,"1,018.50","1,137.95",780,"21,700.00",65,7.75,8.25,845,-10.65,8.25,30.84,"5,81,764","-3,325","29,820",
,14,1,28,-,"1,069.00",-52.55,780,975.05,"1,087.25",780,"21,750.00",130,8.80,9.65,"1,170",-11.75,8.80,30.03,"3,00,023","6,968","15,543",
,100,-7,94,-,"1,014.55",-531.00,520,"1,007.15","1,099.25","1,690","21,800.00","1,755",10.90,11.25,390,-10.55,11.25,30.24,"8,01,327","31,496","69,270",
,12,3,26,-,956.60,-156.10,780,893.00,"1,039.50","1,690","21,850.00",325,12.95,13.40,260,-10.75,12.85,29.81,"2,61,866","7,865","12,496",
,105,-76,300,-,923.00,-492.35,130,904.35,925.65,65,"21,900.00",325,15.45,15.85,260,-10.45,15.85,29.88,"5,97,198","12,834","37,957",
,16,4,57,20.41,890.00,-494.05,780,765.45,904.85,780,"21,950.00",520,18.55,19.20,260,-9.95,18.90,29.76,"3,26,907","4,454","11,437",
,"11,198","-4,038","19,698",-,825.45,-496.60,260,821.15,827.70,260,"22,000.00",520,22.45,23.00,975,-8.10,22.80,29.75,"19,24,200","22,521","1,44,547",
,95,21,193,-,764.00,-535.75,455,692.50,815.30,780,"22,050.00",65,26.50,26.90,520,-7.45,26.80,29.58,"4,33,767","2,384","11,613",
,404,27,433,18.44,741.25,-491.90,65,716.00,740.65,520,"22,100.00",260,30.65,31.45,260,-5.80,31.20,29.36,"7,45,316","11,263","27,087",
,116,28,200,19.75,695.00,-491.85,780,626.35,697.30,195,"22,150.00",130,36.20,37.45,520,-4.25,36.25,29.14,"4,69,413","3,931","10,729",
,"1,312",63,"4,054",18.39,644.70,-499.80,65,640.00,650.30,65,"22,200.00","3,835",42.00,42.55,130,-1.25,42.55,29.04,"9,40,014","18,420","43,423",
,300,60,383,21.05,604.80,-498.30,65,590.05,618.20,130,"22,250.00",585,47.50,49.75,260,1.50,48.80,28.75,"5,68,550","8,851","14,382",
,"2,362","-1,130","6,282",21.13,560.00,-487.15,130,555.00,562.85,780,"22,300.00","1,040",56.15,56.55,65,5.05,56.55,28.59,"11,11,847","4,255","37,363",
,471,18,769,21.31,516.80,-491.15,65,502.20,524.90,195,"22,350.00",260,64.20,65.45,520,9.65,65.05,28.39,"5,06,827","-1,541","9,140",
,"2,387",150,"8,239",21.58,475.50,-486.25,325,475.75,480.25,520,"22,400.00",260,74.05,75.20,325,13.95,74.85,28.22,"10,74,388","3,553","39,846",
,"1,123",168,"3,238",21.89,436.15,-474.95,325,436.75,443.15,780,"22,450.00",65,85.25,87.85,520,19.40,85.70,28.03,"6,21,658",682,"12,675",
,"19,831","-2,275","93,590",21.89,396.80,-472.95,325,397.75,400.30,260,"22,500.00",195,96.05,96.95,65,24.85,96.95,27.72,"29,48,714","-11,040","84,829",
,"2,319",503,"8,477",21.45,356.25,-472.55,325,361.85,364.55,130,"22,550.00",65,110.20,111.85,260,32.40,110.40,27.54,"8,46,453","5,298","12,511",
,"8,578",923,"46,975",22.38,326.85,-452.85,195,323.10,330.80,65,"22,600.00",195,125.55,127.35,260,42.00,126.80,27.55,"13,28,342","-4,336","34,540",
,"2,418",314,"23,635",22.62,295.00,-447.10,325,294.85,297.95,780,"22,650.00",195,142.55,144.85,260,50.20,143.15,27.35,"6,62,193","3,166","11,821",
,"13,776","3,728","1,28,794",22.46,262.10,-440.65,130,261.95,264.65,195,"22,700.00",195,161.85,163.65,195,62.60,163.35,27.44,"14,21,455","3,085","37,748",
,"5,277","1,952","95,446",22.66,234.15,-429.80,325,235.20,235.90,195,"22,750.00",195,180.95,184.35,195,73.65,183.20,27.27,"9,45,861",47,"11,700",
,"36,684","21,319","5,76,870",22.85,208.20,-413.95,130,207.20,209.50,195,"22,800.00",195,206.15,208.45,195,89.55,208.80,27.58,"25,16,395","6,235","51,708",
,"16,561","14,808","5,21,210",22.87,183.05,-396.30,325,184.00,184.75,195,"22,850.00",195,231.35,233.40,195,103.85,233.40,27.56,"15,21,670","11,433","19,680",
,"35,762","21,853","14,98,548",22.84,159.60,-382.15,195,158.30,161.05,260,"22,900.00",195,257.25,260.15,195,118.35,259.80,27.55,"30,37,807","-2,216","29,953",
,"25,484","23,038","13,15,130",23.29,142.00,-361.65,325,140.95,142.30,"1,560","22,950.00",195,286.10,288.35,325,135.05,288.85,27.65,"19,91,427","2,525","12,904",
,"1,28,262","81,564","33,35,560",23.52,124.60,-344.40,325,123.95,124.95,455,"23,000.00",260,317.85,319.90,325,153.15,320.00,27.81,"41,14,130","-23,044","87,600",
,"31,068","25,768","13,30,693",23.42,106.50,-327.00,195,102.75,106.50,260,"23,050.00",260,351.35,352.95,130,169.60,351.00,27.74,"12,11,706","-1,103","11,102",
,"52,090","39,380","19,98,900",23.53,91.80,-306.55,585,90.85,93.40,130,"23,100.00",65,386.75,391.55,130,191.35,388.25,28.28,"13,78,331","-13,800","13,975",
,"19,191","13,347","8,87,915",23.82,80.00,-284.70,195,78.55,80.40,260,"23,150.00",260,424.60,426.70,325,212.85,426.60,28.81,"3,80,553","-10,617","4,603",
,"80,807","53,979","18,67,728",23.83,67.75,-267.25,585,67.75,68.85,195,"23,200.00",520,463.30,468.35,260,237.00,468.75,29.72,"6,37,637","-21,883","28,794",
,"25,753","16,082","7,49,121",24.36,60.20,-244.90,260,59.00,60.15,"1,560","23,250.00",780,500.70,514.50,780,253.65,505.50,29.70,"1,52,719","-9,739","6,209",
,"61,567","21,152","16,72,507",24.63,52.05,-225.40,520,51.50,52.85,"1,040","23,300.00",260,547.25,549.10,325,282.00,554.65,31.42,"2,84,193","-32,313","13,083",
,"24,957","9,380","6,33,103",25.09,45.95,-205.25,130,45.50,46.25,585,"23,350.00",260,593.55,599.60,260,299.05,593.50,31.44,"56,565","-6,679","5,502",
,"58,644","16,983","13,10,674",25.42,39.95,-184.75,260,39.85,40.70,975,"23,400.00",780,630.70,641.90,260,316.65,636.25,31.95,"1,20,730","-19,245","12,055",
,"20,278","6,038","6,36,036",25.92,35.50,-165.10,260,35.30,36.00,975,"23,450.00",780,674.55,689.10,520,336.55,682.05,32.88,"24,218","-4,880","4,309",
,"1,27,704","55,167","21,38,317",26.49,31.90,-146.45,325,31.15,32.00,130,"23,500.00",260,723.25,727.55,325,351.30,725.00,33.20,"1,28,260","-15,225","21,684",
,"22,273","13,152","5,55,610",26.69,27.30,-130.05,195,27.30,28.00,65,"23,550.00",260,774.10,782.15,780,372.85,776.80,35.10,"9,068","-1,325","2,561",
,"48,345","21,238","9,86,205",27.04,23.85,-115.50,715,23.85,24.75,130,"23,600.00",260,821.40,833.50,65,390.20,823.90,36.09,"21,384","-2,695","5,303",
