CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,3,1,7,-,"2,355.00",61.00,65,"2,330.35","2,374.90",65,"20,500.00",195,38.75,39.25,"5,590",11.90,38.50,40.60,"71,558","19,988","33,347",
,1,-,-,-,"2,244.75",-,780,"2,127.90","2,761.40","1,690","20,550.00","17,160",20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,952.15","2,623.15","1,690","20,600.00",325,45.00,46.90,65,14.60,45.00,40.55,"10,946","1,995","2,496",
,-,-,-,-,-,-,780,"1,960.10","2,507.40","1,690","20,650.00","17,485",20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,780,"2,031.20","2,523.20","1,690","20,700.00","28,145",20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,780,"1,906.85","2,484.80","1,690","20,750.00","13,130",20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,780,"1,802.90","2,368.50","1,690","20,800.00","35,360",20.05,-,-,-,-,-,-,-,-,
,2,-,-,-,"1,853.35",-,780,"1,873.85","2,458.00","1,690","20,850.00","12,935",20.05,-,-,-,-,-,-,-,-,
,2,-,-,-,"1,809.45",-,780,"1,841.05","2,387.00","1,690","20,900.00","37,960",20.05,-,-,-,-,-,-,-,-,
,2,-,-,-,"1,763.40",-,780,"1,651.65","2,318.45","1,690","20,950.00","31,590",20.05,-,-,-,-,-,-,-,-,
,"9,893","3,822","5,612",-,"1,876.50",-513.80,780,"1,877.20","1,904.95",130,"21,000.00",975,71.10,71.15,130,27.10,71.10,38.94,"1,19,509","20,253","34,864",
,2,-,-,-,"1,651.95",-,"2,470","1,603.25","2,177.05","1,690","21,050.00","32,370",20.05,-,-,-,-,-,-,-,-,
,2,-,-,-,"1,631.95",-,780,"1,546.85","2,157.00",65,"21,100.00","64,090",20.05,-,-,-,-,-,-,-,-,
,2,-,-,-,"1,589.45",-,780,"1,512.50","2,043.40","1,690","21,150.00","32,045",20.10,-,-,-,-,-,-,-,-,
,1,-,-,-,"2,269.00",-,"1,690","1,486.95","1,964.60","1,690","21,200.00","2,66,500",20.10,-,-,20.05,20.10,26.51,47,47,47,
,1,-,-,-,"2,182.30",-,"1,690","1,444.70","1,961.60","1,690","21,250.00","37,115",20.15,-,-,-,-,-,-,-,-,
,3,-,-,-,"1,480.00",-,780,"1,395.25","2,019.40","1,690","21,300.00","71,890",20.20,-,-,-,-,-,-,-,-,
,5,-,-,-,"1,438.00",-,780,"1,365.25","1,955.30","1,690","21,350.00","31,005",20.25,-,-,-,-,-,-,-,-,
,6,-,-,-,"1,396.90",-,780,"1,320.35","1,828.05","1,690","21,400.00","96,850",20.30,-,-,-,-,-,-,-,-,
,7,-,2,53.81,"1,731.40",375.50,"1,690","1,281.40","1,707.70","1,690","21,450.00","54,470",20.40,-,-,-,-,-,-,-,-,
,"2,597","1,884","2,405",30.02,"1,448.80",-471.95,65,"1,433.25","1,459.15",130,"21,500.00",260,120.75,122.00,455,49.10,122.00,36.77,"70,482","10,113","19,268",
,9,-,-,-,"1,268.90",-,780,"1,160.45","1,737.85","1,690","21,550.00","91,260",20.65,-,-,-,-,-,-,-,-,
,7,-,4,34.27,"1,400.00",190.30,"1,690","1,128.00","1,564.40","1,690","21,600.00","2,12,550",20.85,-,-,-,-,-,-,-,-,
,8,-,-,-,"1,190.20",-,780,"1,063.45","1,546.90","1,690","21,650.00","79,560",103.15,-,-,74.65,103.15,32.08,17,17,20,
,7,-15,23,30.87,"1,285.00",143.40,780,"1,155.30","1,429.35",780,"21,700.00",65,145.00,155.00,130,65.30,154.10,36.22,"14,406",747,"2,070",
,1,-,-,-,"2,496.25",-,-,-,"1,372.15",780,"21,750.00",65,155.05,170.75,65,124.25,160.30,35.82,"2,835",243,256,
,10,9,18,29.04,"1,184.85","-1,382.70",65,"1,049.05","1,196.65",65,"21,800.00",455,168.75,172.00,65,71.85,168.75,35.59,"28,247","1,829","3,461",
,1,-,-,-,"1,241.90",-3.15,780,882.20,"1,397.40",780,"21,850.00",65,180.00,185.00,195,129.60,179.10,35.50,"2,863",396,418,
,12,8,20,28.80,"1,101.10",-398.90,195,"1,080.05","1,130.85",780,"21,900.00",910,184.00,190.00,65,79.70,188.00,35.24,"10,817","1,614","2,556",
,-,-1,1,39.38,"1,188.15",3.65,"1,690",807.55,"1,273.00","1,690","21,950.00","1,37,670",34.55,-,-,-,-,-,-,-,-,
,"2,613",963,"2,674",29.05,"1,025.00",-420.05,65,"1,010.00","1,049.80",65,"22,000.00",65,209.05,210.00,520,90.10,210.00,34.95,"1,23,101","12,087","25,250",
,3,-,-,-,"1,372.40",-,-,-,"1,159.40","1,690","22,050.00","3,21,360",47.95,-,-,47.30,47.95,19.04,2,2,2,
,91,66,92,29.14,950.05,-414.95,325,917.70,963.85,65,"22,100.00",325,229.60,235.00,65,98.85,229.65,34.33,"17,288","1,953","3,103",
,53,43,54,29.21,914.00,-372.15,65,875.30,"1,063.50",65,"22,150.00",650,230.85,250.10,260,109.35,248.80,34.66,"3,272",825,956,
,"1,732","1,636","2,010",28.65,870.65,-390.40,65,870.65,882.75,195,"22,200.00",65,253.90,260.00,65,115.30,259.95,34.34,"16,155","3,325","4,519",
,14,-,-,-,"1,194.30",-,-,-,980.80,780,"22,250.00",65,255.95,278.00,65,113.85,267.90,33.76,"3,210",678,846,
,151,138,233,28.95,804.30,-495.70,65,789.90,826.30,65,"22,300.00",65,280.10,287.00,130,127.00,286.70,33.92,"23,994","-2,405","3,058",
,51,34,42,29.62,779.65,-404.20,-,-,798.10,390,"22,350.00","2,14,370",116.25,-,-,114.45,116.25,20.13,7,7,7,
,188,129,399,28.46,730.15,-371.15,390,727.55,751.80,65,"22,400.00",65,311.15,319.50,65,138.25,315.95,33.51,"14,165","1,799","2,727",
,61,25,111,28.93,704.50,-417.50,65,677.85,719.75,65,"22,450.00","1,05,885",150.60,-,-,-,-,-,-,-,-,
,"4,114","1,558","8,481",28.66,668.95,-360.70,65,661.30,668.95,65,"22,500.00",585,348.00,350.00,520,152.05,350.00,33.25,"83,004","6,873","20,126",
,83,19,191,28.47,635.40,-347.15,390,611.40,799.40,780,"22,550.00",65,353.20,377.30,65,244.00,366.30,33.00,"4,337",824,825,
,993,721,"2,027",28.46,605.40,-340.25,65,600.05,610.95,65,"22,600.00",65,379.05,384.40,65,166.30,383.00,32.74,"15,208","1,805","3,293",
,274,188,409,28.17,571.80,-334.50,65,561.85,598.40,65,"22,650.00",130,400.65,409.45,715,175.25,401.55,32.55,"4,346",643,"1,222",
,"4,623","3,168","7,332",27.84,538.55,-329.35,195,538.10,543.00,65,"22,700.00",195,416.40,423.00,455,182.85,422.95,32.50,"25,238",971,"6,285",
,762,640,"1,348",27.94,512.65,-314.65,195,504.80,512.70,65,"22,750.00",195,432.50,450.00,65,194.30,446.70,32.55,"7,277",957,"1,700",
,"6,790","5,287","19,024",27.89,485.40,-310.25,195,485.30,486.55,195,"22,800.00",195,464.10,468.45,195,202.60,466.70,32.31,"49,755","7,745","12,251",
,"2,339","2,231","7,627",27.81,458.60,-296.95,195,456.20,459.00,65,"22,850.00",195,485.05,494.35,195,210.45,488.85,32.16,"15,108","2,695","3,279",
,"10,307","9,095","40,593",27.52,429.25,-291.80,195,429.25,431.65,65,"22,900.00",195,509.10,513.60,195,218.70,509.60,31.88,"56,573","7,285","9,619",
,"2,688","2,429","14,695",27.52,405.55,-285.70,195,403.10,408.90,195,"22,950.00",195,533.10,537.80,195,226.60,532.00,31.65,"22,372","1,478","2,291",
,"24,713","15,993","1,02,305",27.55,383.00,-270.95,65,381.00,383.00,"1,105","23,000.00",65,558.90,562.10,65,239.90,562.00,31.85,"1,29,112","6,922","23,539",
,"3,355","2,976","17,267",27.16,355.00,-263.10,260,350.10,360.00,130,"23,050.00",65,574.10,594.85,65,255.35,593.25,32.08,"19,001","1,724","2,565",
,"12,751","11,389","57,682",27.10,333.05,-250.40,130,333.00,336.95,65,"23,100.00",195,604.20,624.00,130,256.15,609.95,31.33,"49,212","8,269","11,120",
,"1,774",995,"7,421",25.96,295.30,-256.05,"1,170",300.20,313.70,195,"23,150.00",325,597.65,650.00,65,277.20,650.00,32.03,"5,042",-216,951,
,"14,473","6,405","47,992",26.93,291.00,-231.30,65,290.75,293.75,845,"23,200.00",65,669.05,675.00,260,286.35,675.00,31.72,"31,499","1,559","11,322",
,"2,643",386,"5,498",26.90,272.20,-216.15,65,272.00,275.50,"1,105","23,250.00",65,692.90,737.20,"1,755",331.45,740.90,34.01,"2,392",-484,"2,016",
,"8,471","4,074","31,841",26.74,252.30,-207.50,65,251.65,254.95,65,"23,300.00",65,720.60,738.00,65,307.00,737.80,31.76,"14,634",-594,"5,062",
,953,-560,"5,672",26.72,235.30,-195.95,65,235.05,240.70,130,"23,350.00",65,758.05,804.15,195,355.15,804.15,34.04,"2,600",-652,445,
,"6,282",952,"28,035",26.68,219.00,-185.10,65,215.45,219.00,"13,325","23,400.00",65,783.10,800.00,130,317.45,788.95,30.82,"11,328","-1,782","3,799",
,"1,435",189,"6,350",26.74,204.85,-170.95,520,199.90,204.85,325,"23,450.00",65,812.80,858.65,65,329.65,825.30,31.00,"1,176",-293,463,
,"19,458","9,920","77,722",26.41,186.10,-166.60,65,186.95,189.95,65,"23,500.00","1,300",858.00,865.00,65,342.65,865.00,31.38,"18,214",-852,"7,689",
,"1,133",363,"4,806",26.34,171.95,-156.60,520,170.60,176.00,65,"23,550.00",780,862.60,908.75,65,343.80,891.45,30.76,758,271,535,
,"13,979","5,058","27,987",26.28,158.55,-147.80,65,158.40,160.00,910,"23,600.00",65,926.30,944.30,65,366.40,935.00,31.33,"1,673",-289,"7,651",
,"1,745","1,127","5,582",26.22,146.05,-137.25,65,146.00,150.00,65,"23,650.00",65,935.20,"1,015.80",780,363.60,971.05,31.31,71,-5,148,
,"5,956","1,120","24,172",26.26,135.40,-127.80,65,134.55,135.45,325,"23,700.00",130,"1,003.35","1,020.70",65,388.80,"1,016.00",31.91,"1,428",-480,"1,411",
,"1,359",239,"3,761",26.30,125.45,-118.15,65,123.00,125.50,65,"23,750.00",780,"1,015.80","1,080.25",780,419.45,"1,080.30",33.97,43,-2,93,
,"9,171","5,332","30,999",26.21,114.65,-109.60,65,112.00,114.95,195,"23,800.00",65,"1,082.40","1,127.65",65,397.15,"1,085.00",31.40,"3,064","1,736","3,458",
,"1,015",280,"3,334",26.15,104.90,-101.45,65,100.45,111.70,65,"23,850.00",390,"1,075.35","1,167.35",260,395.45,"1,123.85",31.41,42,12,184,
,"9,893","3,201","18,833",25.85,93.40,-97.30,130,93.00,96.60,325,"23,900.00",260,"1,156.25","1,180.60",65,417.65,"1,169.90",31.98,673,152,"5,481",
,887,369,"4,111",26.08,87.85,-86.20,65,80.00,87.95,195,"23,950.00",780,"1,182.70","1,335.95","1,690",390.20,"1,096.05",20.18,21,-14,32,
,"26,278","11,601","97,613",26.03,80.00,-78.95,65,79.00,80.00,585,"24,000.00",130,"1,244.05","1,264.60",65,431.15,"1,257.15",32.63,"6,435","1,964","8,457",
,"2,009",544,"11,796",25.90,72.00,-74.60,195,69.80,73.00,130,"24,050.00",780,"1,271.75","1,464.60","1,690",411.00,"1,206.90",23.08,22,-2,28,
,"10,014",359,"25,174",25.95,66.20,-64.05,130,64.00,66.95,65,"24,100.00",65,"1,332.70","1,364.50",650,421.75,"1,323.20",31.17,135,-9,"5,470",
,"1,464","1,001","5,515",25.82,59.30,-59.75,130,58.20,62.00,65,"24,150.00",130,"1,364.45","1,426.40",780,405.95,"1,370.75",31.73,3,-1,18,
,"16,110","4,200","41,007",25.42,51.00,-57.05,65,51.00,53.60,65,"24,200.00",130,"1,415.20","1,498.10",65,452.60,"1,423.40",32.79,139,4,"8,701",
