CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,279",-626,975,-,"3,965.00",-352.15,130,"3,960.10","3,965.85",65,"19,000.00","1,08,290",1.15,1.20,"1,55,220",-0.35,1.20,76.15,"1,63,085","-8,957","77,521",
,"1,530",-24,460,-,"2,960.00",-338.30,65,"2,952.75","2,971.65",65,"20,000.00","1,70,690",1.75,1.80,"1,54,765",-1.70,1.80,59.23,"2,80,269","3,964","2,35,747",
,2,-,-,-,-,-,780,"2,413.35","2,517.25",780,"20,500.00","2,10,275",1.95,2.00,"1,26,295",-2.50,1.95,49.82,"1,76,256","7,683","74,544",
,-,-,-,-,-,-,780,"2,254.85","2,466.90",780,"20,550.00","43,030",1.95,2.00,"43,810",-2.55,1.95,49.01,"24,268",974,"3,249",
,-,-,-,-,-,-,390,"2,314.75","2,415.40",780,"20,600.00","77,025",1.95,2.00,"66,560",-2.60,1.95,48.06,"35,149","-1,103","5,491",
,-,-,-,-,-,-,780,"2,265.05","2,367.65",780,"20,650.00","56,095",1.95,2.00,"19,305",-2.70,1.95,47.24,"20,884",307,"3,547",
,-,-,-,-,-,-,780,"2,213.10","2,312.55",780,"20,700.00","1,03,675",1.95,2.00,"46,150",-2.75,1.95,46.15,"44,155","1,667","8,593",
,-,-,-,-,-,-,780,"2,165.25","2,265.10",780,"20,750.00","44,915",1.95,2.00,"22,295",-3.05,2.00,45.33,"16,918",198,"2,139",
,-,-,-,-,-,-,780,"2,114.25","2,215.10",780,"20,800.00","99,450",2.00,2.05,"75,790",-3.15,2.05,44.38,"42,336","2,088","10,098",
,6,-,-,-,-,-,780,"2,065.25","2,162.50",780,"20,850.00","80,275",2.10,2.15,"1,00,295",-3.20,2.10,43.55,"22,603",150,"6,879",
,1,-,-,-,-,-,780,"2,005.20","2,113.75",780,"20,900.00","1,47,160",2.10,2.15,"1,25,385",-3.60,2.15,42.46,"48,824","2,244","9,304",
,3,-,-,-,-,-,390,"1,964.40","2,067.80",780,"20,950.00","1,38,060",2.20,2.25,"74,100",-3.95,2.25,41.76,"42,011","3,467","10,932",
,"5,396",55,"2,114",-,"1,961.00",-340.30,260,"1,958.75","1,965.15",65,"21,000.00","3,63,285",2.25,2.30,"1,08,420",-4.15,2.30,40.92,"4,06,795","5,146","1,28,546",
,2,-,-,-,-,-,780,"1,860.05","1,969.60",780,"21,050.00","82,745",2.25,2.30,"49,595",-4.45,2.30,40.07,"34,716",499,"3,654",
,2,-,-,-,-,-,715,"1,733.95","1,925.90",780,"21,100.00","92,885",2.40,2.45,"1,46,640",-4.90,2.40,39.53,"1,16,327","1,900","13,805",
,2,-,-,-,-,-,780,"1,775.10","1,861.30",780,"21,150.00","1,01,140",2.50,2.55,"36,140",-5.35,2.55,38.66,"38,099",714,"3,906",
,2,-,-,-,-,-,780,"1,718.85","1,810.95",780,"21,200.00","2,54,085",2.60,2.70,"2,62,405",-5.60,2.65,37.98,"1,30,962","6,436","27,662",
