CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,003",-902,"1,357",-,"3,882.60",-434.55,65,"3,880.65","3,892.95",65,"19,000.00","1,91,880",1.10,1.15,"59,475",-0.45,1.10,74.27,"2,05,074","-12,871","73,607",
,"1,505",-49,721,-,"2,880.00",-418.30,130,"2,876.35","2,890.80",65,"20,000.00","1,35,460",1.95,2.00,"78,195",-1.55,1.95,58.89,"3,84,958","-2,721","2,29,062",
,2,-,-,-,-,-,910,"2,326.95","2,422.20",845,"20,500.00","72,020",2.15,2.20,"1,52,815",-2.30,2.15,49.98,"2,11,722","5,822","72,683",
,-,-,-,-,-,-,780,"2,065.05","2,437.00",780,"20,550.00","45,435",2.15,2.20,"13,195",-2.30,2.20,49.14,"27,334",714,"2,989",
,-,-,-,-,-,-,"1,690","2,124.90","2,383.85",780,"20,600.00","70,070",2.20,2.25,"74,685",-2.35,2.20,48.42,"42,249",-901,"5,693",
,-,-,-,-,-,-,780,"2,012.95","2,288.10",780,"20,650.00","16,510",2.20,2.25,"53,820",-2.40,2.25,47.57,"23,216",251,"3,491",
,-,-,-,-,-,-,780,"2,130.55","2,294.75",780,"20,700.00","1,09,850",2.15,2.20,"68,185",-2.50,2.20,46.23,"53,185","2,009","8,935",
,-,-,-,-,-,-,780,"2,080.70","2,187.95",780,"20,750.00","31,135",2.20,2.25,"36,790",-2.80,2.25,45.38,"21,155",121,"2,062",
,-,-,-,-,-,-,780,"2,030.90","2,137.95",780,"20,800.00","1,26,165",2.30,2.35,"1,25,580",-2.85,2.35,44.53,"74,332","3,894","11,904",
,6,-,6,76.12,"2,135.00",420.00,780,"1,983.95","2,079.05",780,"20,850.00","94,900",2.35,2.40,"84,955",-2.90,2.40,43.67,"27,158",213,"6,942",
,1,-,-,-,-,-,390,"1,931.05","2,032.25",390,"20,900.00","1,17,455",2.35,2.40,"1,22,590",-3.40,2.35,42.47,"64,157","1,529","8,589",
,3,-,-,-,-,-,"1,690","1,817.35","2,014.20",780,"20,950.00","97,175",2.45,2.50,"1,24,410",-3.75,2.45,41.72,"49,765","3,526","10,991",
,"5,450",109,"3,774",-,"1,878.80",-422.50,65,"1,879.40","1,884.00",260,"21,000.00","2,63,315",2.45,2.50,"3,00,820",-4.00,2.45,40.75,"5,24,059","-10,472","1,12,927",
,2,-,-,-,-,-,780,"1,781.85","1,881.55",780,"21,050.00","1,06,730",2.55,2.60,"71,760",-4.15,2.60,39.98,"47,562","1,735","4,890",
,2,-,-,-,-,-,780,"1,688.55","1,854.70",780,"21,100.00","99,060",2.80,2.85,"1,54,895",-4.50,2.80,39.48,"1,44,393",149,"12,054",
,2,-,-,-,-,-,780,"1,682.65","1,788.20",780,"21,150.00","67,665",2.90,2.95,"50,570",-4.95,2.95,38.67,"48,459",194,"3,386",
,2,-,-,-,-,-,780,"1,633.70","1,711.75",780,"21,200.00","34,840",3.25,3.30,"1,21,420",-4.95,3.30,38.19,"2,02,778","12,384","33,610",
,5,-,-,-,-,-,780,"1,583.65","1,678.60",780,"21,250.00","29,445",3.30,3.35,"10,140",-5.85,3.30,37.34,"72,918","3,727","8,211",
,1,-,-,-,-,-,780,"1,534.80","1,632.10",780,"21,300.00","58,370",3.45,3.50,"42,055",-6.20,3.45,36.63,"2,03,112","22,353","45,984",
,-,-,-,-,-,-,780,"1,445.25","1,608.30",780,"21,350.00","13,585",3.95,4.00,"17,030",-6.50,3.95,36.24,"62,807","4,217","8,542",
,8,-,3,55.57,"1,571.05",-357.55,130,"1,470.25","1,499.40",65,"21,400.00","80,405",4.30,4.35,"23,985",-7.35,4.30,35.65,"2,01,478","12,148","29,591",
,4,-,1,66.96,"1,570.00",69.10,"2,470","1,391.50","1,452.60",195,"21,450.00","30,680",4.90,4.95,"18,655",-7.35,4.95,35.29,"1,23,548","5,504","11,275",
,"1,091",-120,599,-,"1,383.60",-428.20,65,"1,385.20","1,392.60",260,"21,500.00","37,505",5.35,5.40,"16,900",-7.95,5.35,34.80,"6,99,245","18,988","1,22,325",
,6,-,1,63.68,"1,470.00",74.20,"2,470","1,291.80","1,350.10",650,"21,550.00","7,605",6.30,6.35,"14,430",-8.45,6.35,34.56,"1,22,377","8,560","12,519",
,16,4,28,-,"1,296.75",-433.25,845,"1,270.10","1,295.40",65,"21,600.00","36,595",7.10,7.20,"41,665",-8.65,7.15,34.13,"3,25,145","5,265","25,555",
,7,-,-,-,-,-,"2,535","1,190.35","1,260.65",65,"21,650.00",260,8.25,8.30,"13,910",-9.00,8.25,33.91,"1,23,541","3,820","9,606",
,28,-14,20,42.56,"1,257.25",-360.65,780,"1,168.15","1,194.80",130,"21,700.00","2,795",9.55,9.60,"25,610",-9.35,9.55,33.66,"3,87,565","13,415","46,560",
,14,1,26,38.09,"1,122.05",0.50,195,"1,125.75","1,154.05",260,"21,750.00","5,135",10.95,11.00,"2,275",-9.55,11.00,33.30,"1,98,289","6,931","15,506",
,102,-5,56,36.64,"1,072.05",-473.50,130,"1,091.30","1,107.40",260,"21,800.00","17,355",12.30,12.40,"6,175",-9.50,12.30,32.89,"5,19,272","50,014","87,788",
,6,-3,12,26.22,"1,081.90",-30.80,780,"1,017.85","1,049.85",65,"21,850.00","5,915",14.50,14.55,"3,380",-9.10,14.50,32.76,"1,81,619","7,057","11,688",
,137,-44,162,-,988.00,-427.35,325,997.90,"1,005.40",325,"21,900.00","5,200",16.95,17.05,"10,660",-9.30,17.00,32.55,"4,17,838","15,562","40,685",
,3,-9,32,-,947.00,-437.05,260,949.95,957.00,260,"21,950.00","2,990",19.75,19.85,"5,720",-9.10,19.75,32.36,"2,12,367","13,713","20,696",
,"12,573","-2,663","13,882",-,905.55,-416.50,260,905.15,906.20,260,"22,000.00","6,370",22.85,22.90,65,-8.00,22.90,32.17,"13,80,549","34,003","1,56,030",
,73,-1,81,19.28,852.35,-447.40,260,856.05,860.85,260,"22,050.00",520,26.30,26.40,"2,470",-7.90,26.35,31.91,"2,94,751","15,771","25,000",
,391,14,282,20.50,815.00,-418.15,65,811.10,813.90,260,"22,100.00","3,315",30.20,30.30,"7,995",-6.80,30.20,31.64,"5,50,908","12,250","28,074",
,101,13,139,-,763.00,-423.85,260,764.55,768.75,325,"22,150.00",65,34.65,34.70,195,-5.75,34.75,31.41,"3,57,110","13,988","20,786",
,"1,379",130,"2,915",-,721.05,-423.45,65,721.55,723.85,260,"22,200.00",65,39.80,39.90,"6,435",-3.95,39.85,31.14,"6,80,209","20,130","45,133",
,246,6,180,19.32,675.00,-428.10,65,676.75,679.05,260,"22,250.00","1,300",45.35,45.45,65,-1.90,45.40,30.92,"4,22,897","14,471","20,002",
,"2,452","-1,040","4,801",20.39,635.90,-411.25,65,633.80,635.60,195,"22,300.00",325,52.05,52.20,"3,965",0.50,52.00,30.63,"8,13,281","23,754","56,862",
,413,-40,275,20.69,590.00,-417.95,260,590.05,592.60,325,"22,350.00","1,820",59.35,59.50,"1,040",3.90,59.30,30.47,"3,68,649","7,822","18,503",
,"2,499",262,"4,926",21.63,549.50,-412.25,130,549.00,550.30,65,"22,400.00",780,67.75,67.90,260,6.85,67.75,30.22,"7,84,964","12,797","49,090",
,"1,034",79,"1,744",21.30,505.50,-405.60,130,508.25,509.40,130,"22,450.00","1,430",77.20,77.35,130,10.95,77.25,30.01,"4,62,765","10,666","22,659",
,"21,641",-465,"65,819",22.94,471.10,-398.65,325,469.00,470.15,65,"22,500.00","2,080",87.75,87.95,195,15.90,88.00,29.84,"23,27,156","37,619","1,33,488",
,"2,050",234,"4,558",23.27,432.00,-396.80,130,430.65,431.65,130,"22,550.00","2,665",99.60,99.80,130,21.75,99.75,29.56,"6,69,040","14,887","22,100",
,"8,115",460,"28,518",23.39,394.95,-384.75,65,394.25,395.00,130,"22,600.00",195,112.35,112.55,130,27.90,112.70,29.41,"10,33,391","12,361","51,237",
,"2,447",343,"11,741",23.44,359.20,-382.90,65,358.55,359.20,390,"22,650.00",520,127.30,127.55,390,34.55,127.50,29.22,"5,10,777","9,244","17,899",
,"12,876","2,828","73,954",23.56,325.15,-377.60,260,325.10,325.70,390,"22,700.00",455,143.55,143.85,585,42.75,143.50,29.13,"10,95,817","19,962","54,625",
,"4,634","1,309","45,726",23.66,293.30,-370.65,65,293.00,293.50,325,"22,750.00",455,161.30,161.65,520,51.80,161.35,29.01,"7,16,249","12,907","24,560",
,"30,523","15,158","2,76,230",23.61,263.00,-359.15,130,262.70,263.10,390,"22,800.00",975,181.00,181.35,455,61.75,181.00,28.87,"18,51,361","31,707","77,180",
,"14,026","12,273","2,05,590",23.68,234.60,-344.75,195,234.45,234.75,130,"22,850.00",260,202.95,203.00,130,73.20,202.75,28.85,"10,50,618","26,684","34,931",
,"80,034","66,125","10,46,677",23.78,208.40,-333.35,195,208.10,208.35,585,"22,900.00",65,226.40,226.80,260,85.30,226.75,28.80,"25,17,985","63,541","95,710",
,"53,864","51,418","10,87,222",23.77,183.95,-319.70,"1,235",183.75,184.00,65,"22,950.00",650,251.55,252.00,130,98.20,252.00,28.86,"18,19,709","29,354","39,733",
,"1,79,668","1,32,970","27,72,321",23.80,161.20,-307.80,520,160.95,161.25,"1,430","23,000.00",260,278.95,279.50,715,112.70,279.55,28.88,"37,19,192","30,169","1,40,813",
,"56,777","51,477","11,50,915",23.87,140.55,-292.95,"1,820",140.55,140.85,390,"23,050.00",195,307.95,308.55,910,126.60,308.00,28.94,"11,45,029","13,528","25,733",
,"87,094","74,384","16,78,921",23.92,122.60,-275.75,"1,235",122.30,122.60,"1,560","23,100.00",65,340.35,340.60,325,143.60,340.50,29.18,"12,70,352","8,782","36,557",
,"38,148","32,304","7,21,151",24.00,106.15,-258.55,"1,430",105.90,106.10,195,"23,150.00",130,373.55,374.30,260,160.35,374.10,29.33,"3,53,751","-4,385","10,835",
,"1,07,978","81,150","14,95,018",24.06,91.60,-243.40,"3,315",91.40,91.60,715,"23,200.00",65,409.45,410.15,"1,235",178.40,410.15,29.65,"5,82,208","-9,321","41,356",
,"39,593","29,922","5,79,893",24.21,78.90,-226.20,"3,120",78.70,78.90,"1,625","23,250.00",130,446.55,447.40,195,194.80,446.65,30.00,"1,39,658","-5,787","10,161",
,"90,562","50,147","13,81,998",24.38,68.10,-209.35,"3,055",67.95,68.10,455,"23,300.00",65,485.30,486.20,130,213.55,486.20,30.47,"2,58,637","-24,477","20,919",
,"31,629","16,052","4,99,020",24.56,58.35,-192.85,"1,690",58.25,58.40,455,"23,350.00",130,526.60,527.70,130,232.30,526.75,31.04,"50,294","-6,227","5,954",
,"76,152","34,491","10,46,786",24.73,50.20,-174.50,"4,225",50.10,50.25,"2,600","23,400.00",65,567.55,568.80,65,248.60,568.20,31.52,"1,08,510","-13,965","17,335",
,"32,331","18,091","5,11,129",24.98,43.05,-157.55,"1,300",43.00,43.10,975,"23,450.00",195,610.80,612.00,130,264.50,610.00,32.13,"21,583","-4,305","4,884",
,"1,50,463","77,926","17,13,978",25.25,37.15,-141.20,"2,015",37.05,37.15,"1,170","23,500.00",130,654.20,655.55,585,280.25,653.95,32.91,"1,12,540","-12,203","24,706",
,"23,401","14,280","4,35,315",25.45,31.75,-125.60,"2,860",31.65,31.75,325,"23,550.00",130,699.15,700.70,130,295.25,699.20,34.32,"7,638",-871,"3,015",
