CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,994,-911,"1,364",-,"3,875.00",-442.15,65,"3,859.05","3,869.40",65,"19,000.00","1,23,045",1.15,1.20,"1,29,025",-0.35,1.20,74.27,"2,05,503","-12,713","73,765",
,"1,505",-49,724,-,"2,881.70",-416.60,260,"2,848.10","2,870.70",650,"20,000.00","70,330",2.00,2.05,"2,11,835",-1.50,2.00,58.89,"3,86,800","-3,899","2,27,884",
,2,-,-,-,-,-,845,"2,326.25","2,423.90",845,"20,500.00","1,11,280",2.20,2.30,"1,49,825",-2.20,2.25,49.98,"2,12,353","5,375","72,236",
,-,-,-,-,-,-,780,"2,070.45","2,433.90",780,"20,550.00","39,260",2.25,2.30,"15,730",-2.25,2.25,49.14,"27,427",782,"3,057",
,-,-,-,-,-,-,"1,690","2,124.90","2,380.85",780,"20,600.00","60,840",2.30,2.35,"66,105",-2.20,2.35,48.42,"42,322",-885,"5,709",
,-,-,-,-,-,-,780,"2,020.85","2,355.20",780,"20,650.00","15,470",2.30,2.35,"27,950",-2.35,2.30,47.57,"23,381",270,"3,510",
,-,-,-,-,-,-,780,"2,109.25","2,210.25",780,"20,700.00","61,620",2.25,2.30,"37,635",-2.45,2.25,46.23,"53,595","1,803","8,729",
,-,-,-,-,-,-,780,"2,061.15","2,163.10",780,"20,750.00","18,525",2.25,2.35,"25,805",-2.80,2.25,45.38,"21,317",68,"2,009",
,-,-,-,-,-,-,780,"2,030.90","2,128.80",780,"20,800.00","94,120",2.40,2.45,"77,285",-2.80,2.40,44.53,"75,238","3,804","11,814",
,6,-,6,76.12,"2,135.00",420.00,780,"1,983.65","2,079.75",780,"20,850.00","91,845",2.50,2.55,"90,480",-2.80,2.50,43.67,"27,216",175,"6,904",
,1,-,-,-,-,-,780,"1,695.65","2,091.00","1,690","20,900.00","1,28,310",2.40,2.50,"1,42,220",-3.30,2.45,42.47,"67,556","1,519","8,579",
,3,-,-,-,-,-,"1,690","1,817.35","2,010.70",780,"20,950.00","48,100",2.55,2.60,"95,485",-3.60,2.60,41.72,"50,222","3,528","10,993",
,"5,529",188,"3,840",-,"1,877.55",-423.75,325,"1,862.70","1,870.05",130,"21,000.00","2,94,320",2.55,2.60,"3,20,840",-3.85,2.60,40.75,"5,28,657","-10,466","1,12,933",
,2,-,-,-,-,-,780,"1,782.65","1,881.35",780,"21,050.00","51,740",2.70,2.75,"98,410",-4.10,2.65,39.98,"48,296","1,686","4,841",
,2,-,-,-,-,-,780,"1,671.15","1,850.00",325,"21,100.00","1,18,755",2.95,3.00,"1,49,695",-4.30,3.00,39.48,"1,48,657",390,"12,295",
,2,-,-,-,-,-,780,"1,682.65","1,778.90",780,"21,150.00","28,210",3.10,3.15,"10,205",-4.75,3.15,38.67,"49,794",329,"3,521",
,2,-,-,-,-,-,780,"1,633.70","1,728.50",780,"21,200.00","65,390",3.40,3.45,"27,365",-4.80,3.45,38.19,"2,21,777","17,662","38,888",
,5,-,-,-,-,-,780,"1,583.55","1,678.50",780,"21,250.00","12,415",3.50,3.55,"13,845",-5.65,3.50,37.34,"74,336","3,641","8,125",
,1,-,-,-,-,-,780,"1,535.80","1,631.10",780,"21,300.00","21,645",3.70,3.75,"25,285",-5.95,3.70,36.63,"2,06,505","21,750","45,381",
,-,-,-,-,-,-,780,"1,445.25","1,605.50",780,"21,350.00","26,390",4.10,4.20,"15,470",-6.30,4.15,36.24,"63,539","4,183","8,508",
,8,-,3,55.57,"1,571.05",-357.55,130,"1,451.95","1,495.40",65,"21,400.00","3,640",4.50,4.55,"70,915",-7.15,4.50,35.65,"2,04,918","12,253","29,696",
,4,-,1,66.96,"1,570.00",69.10,715,"1,394.05","1,449.40",65,"21,450.00","27,105",5.10,5.15,"9,230",-7.15,5.15,35.29,"1,25,487","5,532","11,303",
,"1,091",-120,603,-,"1,379.20",-432.60,"1,040","1,357.15","1,371.90",65,"21,500.00","17,160",5.65,5.70,"38,610",-7.60,5.70,34.80,"7,06,360","18,487","1,21,824",
,6,-,1,63.68,"1,470.00",74.20,"2,470","1,293.90","1,354.35",650,"21,550.00","14,885",6.55,6.60,"5,070",-8.20,6.60,34.56,"1,23,719","8,613","12,572",
,16,4,28,-,"1,296.75",-433.25,130,"1,253.35","1,299.75",130,"21,600.00","22,425",7.40,7.45,"17,550",-8.35,7.45,34.13,"3,28,410","5,534","25,824",
,7,-,-,-,-,-,"1,755","1,193.65","1,261.40",780,"21,650.00","1,300",8.70,8.75,"7,150",-8.50,8.75,33.91,"1,24,928","4,011","9,797",
,28,-14,20,42.56,"1,257.25",-360.65,715,"1,110.75","1,181.20",325,"21,700.00","18,915",9.85,9.95,"8,060",-8.90,10.00,33.66,"3,92,433","13,574","46,719",
,14,1,26,38.09,"1,122.05",0.50,65,"1,067.65","1,134.65",65,"21,750.00","2,860",11.40,11.45,"1,560",-9.05,11.50,33.30,"1,99,870","6,880","15,455",
,101,-6,61,36.64,"1,092.00",-453.55,715,"1,030.25","1,081.55",65,"21,800.00","4,550",12.90,12.95,"3,510",-8.90,12.90,32.89,"5,26,892","49,258","87,032",
,6,-3,12,26.22,"1,081.90",-30.80,"2,535",994.85,"1,050.45",260,"21,850.00","1,885",15.20,15.25,"1,560",-8.40,15.20,32.76,"1,83,680","6,993","11,624",
,137,-44,162,-,988.00,-427.35,325,978.95,984.55,325,"21,900.00",585,17.80,17.85,"2,275",-8.50,17.80,32.55,"4,21,418","15,717","40,840",
,3,-9,32,-,947.00,-437.05,715,921.80,940.95,260,"21,950.00","3,315",20.75,20.85,"3,835",-8.00,20.85,32.36,"2,15,759","14,383","21,366",
,"12,543","-2,693","14,113",-,883.85,-438.20,260,885.50,888.30,65,"22,000.00","3,835",24.20,24.30,"2,015",-6.65,24.25,32.17,"13,93,677","35,701","1,57,728",
,73,-1,81,19.28,852.35,-447.40,585,835.05,845.35,260,"22,050.00",585,27.65,27.75,390,-6.50,27.75,31.91,"2,97,849","14,899","24,128",
,391,14,282,20.50,815.00,-418.15,65,795.50,798.60,260,"22,100.00","2,925",31.65,31.75,"1,885",-5.30,31.70,31.64,"5,54,642","12,749","28,573",
,101,13,140,-,765.00,-421.85,780,742.25,751.80,65,"22,150.00","1,235",36.25,36.35,"1,300",-4.05,36.45,31.41,"3,60,240","11,298","18,096",
,"1,395",146,"2,945",-,703.30,-441.20,65,706.45,708.80,195,"22,200.00",975,41.70,41.80,845,-2.00,41.80,31.14,"6,86,438","20,312","45,315",
,246,6,180,19.32,675.00,-428.10,65,662.50,665.50,65,"22,250.00",195,47.55,47.70,780,0.35,47.65,30.92,"4,25,647","14,657","20,188",
