CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,451",-454,730,-,"3,942.00",-375.15,65,"3,932.15","3,948.85",65,"19,000.00","82,680",1.30,1.35,"97,760",-0.25,1.30,75.44,"1,54,003","-9,876","76,602",
,"1,494",-60,356,-,"2,934.65",-363.65,65,"2,932.00","2,940.00",65,"20,000.00","1,39,035",1.95,2.00,"2,89,770",-1.50,2.00,59.63,"2,38,400",-358,"2,31,424",
,2,-,-,-,-,-,845,"2,406.00","2,459.00",845,"20,500.00","1,89,735",2.05,2.10,"1,01,660",-2.35,2.10,50.56,"1,60,389","8,143","75,004",
,-,-,-,-,-,-,780,"2,254.80","2,472.10",780,"20,550.00","37,115",2.05,2.10,"42,380",-2.40,2.10,49.73,"22,238",717,"2,992",
,-,-,-,-,-,-,"1,690","2,068.55","2,683.65",780,"20,600.00","32,240",2.15,2.20,"76,310",-2.40,2.15,48.89,"33,383","-1,137","5,457",
,-,-,-,-,-,-,780,"2,167.80","2,365.05",780,"20,650.00","55,575",2.15,2.20,"45,695",-2.45,2.20,48.17,"19,239",406,"3,646",
,-,-,-,-,-,-,780,"2,057.70","2,325.00",780,"20,700.00","77,870",2.15,2.20,"76,505",-2.55,2.15,47.07,"39,992","1,311","8,237",
,-,-,-,-,-,-,780,"2,150.35","2,251.40",780,"20,750.00","39,455",2.20,2.25,"47,060",-2.80,2.25,46.10,"14,468",510,"2,451",
,-,-,-,-,-,-,780,"2,027.05","2,208.30",780,"20,800.00","86,060",2.25,2.30,"86,970",-2.95,2.25,45.24,"37,661","2,575","10,585",
,6,-,-,-,-,-,780,"1,992.65","2,125.15",780,"20,850.00","87,815",2.35,2.40,"84,240",-2.90,2.40,44.71,"20,155",107,"6,836",
,1,-,-,-,-,-,780,"1,994.45","2,097.95",780,"20,900.00","94,380",2.40,2.45,"1,60,550",-3.30,2.45,44.04,"43,406","2,707","9,767",
,3,-,-,-,-,-,390,"1,951.35","2,035.65",780,"20,950.00","1,41,180",2.55,2.60,"1,33,640",-3.60,2.60,43.35,"37,228","3,600","11,065",
,"5,322",-19,"1,395",-,"1,937.55",-363.75,260,"1,934.35","1,941.35",65,"21,000.00","3,52,950",2.65,2.70,"1,67,180",-3.75,2.70,42.64,"3,46,903","6,645","1,30,044",
,2,-,-,-,-,-,780,"1,847.35","1,937.90",780,"21,050.00","74,880",2.75,2.80,"89,180",-4.00,2.75,41.82,"30,137","1,151","4,306",
,2,-,-,-,-,-,780,"1,708.95","1,904.70",780,"21,100.00","1,80,830",2.90,2.95,"2,20,610",-4.40,2.90,41.07,"1,05,685","3,594","15,499",
,2,-,-,-,-,-,780,"1,748.10","1,841.15",780,"21,150.00","25,935",3.05,3.10,"6,175",-4.80,3.10,40.54,"33,946",876,"4,068",
