CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,108",-797,"1,175",-,"3,925.00",-392.15,325,"3,919.45","3,927.55",65,"19,000.00","2,74,040",1.05,1.10,"59,150",-0.50,1.05,74.44,"1,75,042","-10,226","76,252",
,"1,517",-37,542,-,"2,925.00",-373.30,325,"2,910.05","2,929.80",130,"20,000.00","2,66,565",1.60,1.65,"1,04,065",-1.90,1.60,58.90,"3,21,102",-64,"2,31,719",
,2,-,-,-,-,-,845,"2,372.00","2,464.00",845,"20,500.00","1,92,465",1.80,1.85,"1,26,230",-2.60,1.85,49.97,"1,91,809","6,344","73,205",
,-,-,-,-,-,-,780,"2,254.90","2,505.50",780,"20,550.00","36,660",1.75,1.80,"32,175",-2.70,1.80,49.01,"25,150",598,"2,873",
,-,-,-,-,-,-,"1,690","2,124.90","2,465.85",780,"20,600.00","62,855",1.80,1.85,"70,980",-2.75,1.80,48.19,"36,970",-955,"5,639",
,-,-,-,-,-,-,780,"2,221.75","2,323.90",780,"20,650.00","44,785",1.85,1.90,"55,640",-2.80,1.85,47.23,"21,585",261,"3,501",
,-,-,-,-,-,-,780,"2,173.70","2,275.60",780,"20,700.00","85,995",1.80,1.85,"70,330",-2.85,1.85,46.27,"46,168","1,440","8,366",
,-,-,-,-,-,-,780,"2,121.80","2,614.80",780,"20,750.00","39,195",1.85,1.90,"37,505",-3.20,1.85,45.45,"18,679",-4,"1,937",
,-,-,-,-,-,-,780,"1,831.35","2,188.45",780,"20,800.00","1,13,490",1.90,1.95,"91,780",-3.30,1.90,44.61,"47,300",895,"8,905",
,6,-,6,-,"2,135.00",420.00,780,"2,041.45","2,109.25",780,"20,850.00","96,265",1.95,2.00,"80,730",-3.35,1.95,43.89,"24,247",252,"6,981",
