CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,977,-928,"1,413",105.23,"3,840.00",-477.15,65,"3,831.90","3,841.90",65,"19,000.00","2,78,005",1.10,1.15,"2,00,005",-0.40,1.15,73.92,"2,12,001","-12,532","73,946",
,"1,504",-50,750,69.46,"2,837.15",-461.15,65,"2,825.05","2,845.05",65,"20,000.00","2,61,430",1.95,2.00,"3,01,210",-1.55,1.95,58.79,"4,00,450","-2,747","2,29,036",
,2,-,-,-,-,-,845,"2,280.65","2,382.25",845,"20,500.00","1,21,160",2.15,2.20,"1,22,980",-2.25,2.20,49.02,"2,22,210","5,028","71,889",
,-,-,-,-,-,-,780,"2,089.65","2,420.95",780,"20,550.00","42,445",2.15,2.20,"17,225",-2.25,2.25,48.05,"27,882",704,"2,979",
,-,-,-,-,-,-,"1,690","2,124.90","2,364.05",780,"20,600.00","55,705",2.20,2.25,"76,050",-2.30,2.25,47.20,"43,352",-907,"5,687",
,-,-,-,-,-,-,780,"2,028.20","2,328.30",780,"20,650.00","47,515",2.20,2.25,"32,890",-2.40,2.25,47.03,"23,940",237,"3,477",
,-,-,-,-,-,-,780,"2,085.35","2,279.65",780,"20,700.00","79,690",2.20,2.25,"1,02,830",-2.50,2.20,45.93,"55,720","1,452","8,378",
,-,-,-,-,-,-,780,"1,896.60","2,182.65",780,"20,750.00","31,395",2.25,2.30,"22,620",-2.80,2.25,44.39,"22,418",247,"2,188",
,-,-,-,-,-,-,780,"1,925.65","2,154.85",780,"20,800.00","42,380",2.35,2.40,"1,08,160",-2.80,2.40,43.64,"77,621","3,471","11,481",
,6,-,6,61.75,"2,135.00",420.00,715,"1,822.25","2,104.80",780,"20,850.00","90,935",2.35,2.40,"82,940",-2.95,2.35,42.66,"29,103",-1,"6,728",
,1,-,-,-,-,-,780,"1,771.65","2,035.35","1,690","20,900.00","1,03,935",2.35,2.40,"1,56,715",-3.35,2.40,42.39,"70,796","1,518","8,578",
,3,-,-,-,-,-,780,"1,827.00","1,997.10",780,"20,950.00","64,220",2.45,2.50,"1,39,685",-3.75,2.45,41.56,"54,209","3,559","11,024",
,"5,473",132,"4,027",-,"1,839.50",-461.80,195,"1,829.80","1,837.10",325,"21,000.00","3,04,980",2.45,2.50,"1,38,970",-3.95,2.50,40.72,"5,57,730","-10,673","1,12,726",
,2,-,-,-,-,-,780,"1,732.05","1,827.00",780,"21,050.00","68,445",2.60,2.65,"1,03,350",-4.10,2.65,39.88,"53,168","1,658","4,813",
,2,-,-,-,-,-,780,"1,591.15","1,809.45",780,"21,100.00","1,45,730",2.85,2.90,"1,42,025",-4.45,2.85,38.69,"1,60,568","1,219","13,124",
,2,-,-,-,-,-,390,"1,627.80","1,739.30",390,"21,150.00","48,490",2.95,3.00,"58,370",-4.95,2.95,38.02,"54,179",243,"3,435",
,2,-,-,-,-,-,780,"1,579.85","1,677.60",780,"21,200.00","27,950",3.20,3.25,"32,565",-5.00,3.25,37.41,"2,80,287","9,993","31,219",
,5,-,-,-,-,-,780,"1,528.45","1,640.25",780,"21,250.00","28,340",3.40,3.50,"16,510",-5.75,3.40,36.82,"78,942","3,527","8,011",
,1,-,-,-,-,-,780,"1,483.30","1,583.80",780,"21,300.00","21,125",3.65,3.70,"30,225",-5.95,3.70,36.06,"2,19,960","22,606","46,237",
,-,-,-,-,-,-,"2,535","1,449.35","1,529.55","2,535","21,350.00","12,610",4.25,4.30,"17,030",-6.20,4.25,35.82,"70,179","3,776","8,101",
,8,-,3,38.88,"1,571.05",-357.55,65,"1,423.85","1,450.80",390,"21,400.00","29,640",4.70,4.75,"32,435",-6.95,4.70,35.51,"2,24,150","12,059","29,502",
,4,-,1,78.00,"1,570.00",69.10,715,"1,350.50","1,409.95",130,"21,450.00","13,780",5.45,5.50,"14,950",-6.85,5.45,35.20,"1,33,391","4,793","10,564",
,"1,093",-118,633,-,"1,332.00",-479.80,260,"1,326.95","1,348.60",130,"21,500.00","1,755",6.20,6.25,"58,240",-7.10,6.20,34.62,"7,53,265","19,119","1,22,456",
,6,-,1,74.35,"1,470.00",74.20,715,"1,252.80","1,303.20",130,"21,550.00","4,030",7.15,7.20,"12,675",-7.65,7.15,34.32,"1,34,900","7,996","11,955",
,16,4,32,-,"1,253.00",-477.00,65,"1,229.85","1,262.85",845,"21,600.00","13,195",8.05,8.10,"5,980",-7.75,8.05,33.91,"3,54,546","6,206","26,496",
,7,-,-,-,-,-,"2,535","1,151.50","1,215.75",780,"21,650.00","6,955",9.35,9.45,"7,085",-7.90,9.35,33.63,"1,36,370","4,284","10,070",
,28,-14,22,-,"1,149.60",-468.30,715,"1,120.00","1,154.90",195,"21,700.00","4,160",11.00,11.05,"10,530",-7.90,11.00,33.52,"4,23,635","13,571","46,716",
,14,1,26,30.05,"1,122.05",0.50,650,"1,083.05","1,102.05",195,"21,750.00","4,290",12.70,12.80,"5,460",-7.80,12.75,33.24,"2,14,141","6,780","15,355",
,101,-6,61,32.65,"1,092.00",-453.55,130,"1,033.80","1,054.80",650,"21,800.00","3,770",14.50,14.60,"10,140",-7.30,14.50,32.84,"5,64,643","50,283","88,057",
,7,-2,14,-,996.40,-116.30,260,998.30,"1,003.10",325,"21,850.00",325,16.95,17.00,455,-6.70,16.90,32.40,"1,97,978","9,265","13,896",
,144,-37,163,31.70,983.05,-432.30,65,951.05,955.20,65,"21,900.00","2,730",19.60,19.70,"6,955",-6.65,19.65,32.14,"4,49,362","13,933","39,056",
,4,-8,36,33.00,884.20,-499.85,65,903.65,912.15,520,"21,950.00","2,210",22.90,23.00,"3,770",-5.90,22.95,32.30,"2,37,127","13,439","20,422",
,"12,391","-2,845","15,149",-,860.95,-461.10,260,858.65,860.90,195,"22,000.00","1,885",26.70,26.80,"1,820",-4.20,26.70,31.65,"14,95,312","29,871","1,51,897",
,72,-2,82,26.59,830.00,-469.75,520,808.90,817.60,260,"22,050.00","4,160",30.65,30.75,"1,300",-3.60,30.65,31.87,"3,28,770","11,247","20,476",
,399,22,310,14.96,775.00,-458.15,65,768.10,770.25,65,"22,100.00",650,35.40,35.50,"3,185",-1.60,35.40,31.65,"5,94,504","12,984","28,808",
,103,15,153,39.86,726.25,-460.60,325,723.35,727.35,325,"22,150.00","2,210",40.95,41.10,"2,210",0.45,40.95,31.44,"3,88,690","10,924","17,722",
,"1,452",203,"3,214",25.74,680.70,-463.80,65,679.15,681.30,65,"22,200.00",780,46.75,46.90,"1,495",2.95,46.75,30.61,"7,41,208","18,725","43,728",
,244,4,194,19.45,629.00,-474.10,325,635.00,638.20,130,"22,250.00",325,53.35,53.45,130,6.15,53.45,30.40,"4,57,051","14,064","19,595",
,"2,495",-997,"5,034",23.12,595.00,-452.15,65,595.00,596.30,520,"22,300.00",455,61.10,61.25,"1,625",9.70,61.20,30.68,"8,79,203","19,850","52,958",
,408,-45,321,23.57,556.95,-451.00,65,552.65,554.45,130,"22,350.00",195,70.20,70.35,325,14.90,70.30,30.52,"4,02,951","5,530","16,211",
,"2,566",329,"5,783",26.61,513.85,-447.90,130,512.70,513.95,65,"22,400.00",780,79.55,79.75,"1,560",18.75,79.65,30.34,"8,62,717","11,783","48,076",
,"1,028",73,"2,034",26.33,475.95,-435.15,130,473.10,474.15,130,"22,450.00",845,90.25,90.40,65,24.00,90.30,30.10,"5,09,982","9,679","21,672",
,"21,752",-354,"71,445",24.69,436.25,-433.50,260,434.70,435.75,260,"22,500.00",715,102.75,103.00,"5,070",30.65,102.75,29.90,"25,08,103","25,799","1,21,668",
,"2,165",349,"5,480",24.80,399.30,-429.50,195,398.45,399.30,65,"22,550.00",390,115.85,116.10,"2,405",37.95,115.95,29.72,"7,23,803","11,554","18,767",
,"8,377",722,"32,202",24.70,363.65,-416.05,65,363.95,364.25,65,"22,600.00",260,130.30,130.60,"2,015",45.65,130.45,28.91,"11,23,549","10,431","49,307",
,"2,850",746,"14,433",24.88,330.35,-411.75,260,329.95,330.60,195,"22,650.00",65,147.10,147.40,845,54.45,147.40,28.71,"5,55,407","9,003","17,658",
,"14,120","4,072","84,311",24.84,298.35,-404.40,130,297.90,298.30,390,"22,700.00",585,165.10,165.35,"1,300",64.60,165.35,29.27,"11,94,660","14,330","48,993",
,"6,282","2,957","55,963",24.81,268.35,-395.60,260,268.00,268.40,520,"22,750.00",325,184.65,184.90,195,75.20,184.75,29.19,"7,87,389","11,772","23,425",
,"40,562","25,197","3,31,378",25.82,239.95,-382.20,195,239.50,239.90,455,"22,800.00",260,205.95,206.30,715,87.05,206.30,28.15,"20,36,062","34,954","80,427",
,"26,408","24,655","2,69,325",25.99,212.55,-366.80,455,212.55,212.90,65,"22,850.00",455,230.00,230.35,"1,625",100.45,230.00,28.10,"12,02,465","29,393","37,640",
,"82,162","68,253","11,64,171",24.71,188.30,-353.45,780,188.10,188.30,65,"22,900.00",195,254.65,255.15,585,113.70,255.15,29.00,"27,06,895","40,663","72,832",
,"50,096","47,650","11,43,622",24.65,165.10,-338.55,325,165.50,165.80,585,"22,950.00",130,281.30,281.70,845,127.55,281.35,28.94,"18,85,683","19,338","29,717",
,"1,74,552","1,27,854","29,00,752",24.58,144.70,-324.30,195,144.40,144.70,"1,690","23,000.00",65,310.90,311.15,195,144.30,311.15,28.91,"38,46,617","15,123","1,25,767",
,"50,068","44,768","11,92,968",24.59,125.40,-308.10,390,125.35,125.60,715,"23,050.00",65,341.85,342.40,65,159.55,340.95,29.02,"11,67,394","9,167","21,372",
,"84,336","71,626","17,48,217",25.75,108.80,-289.55,"1,170",108.55,108.80,780,"23,100.00",65,374.95,375.70,130,178.85,375.75,29.20,"13,00,599","4,010","31,785",
,"36,287","30,443","7,54,276",25.61,94.10,-270.60,65,94.00,94.15,845,"23,150.00",260,409.50,410.30,130,196.30,410.05,27.77,"3,62,369","-6,304","8,916",
,"1,09,348","82,520","15,69,151",24.66,80.55,-254.45,65,80.60,80.70,845,"23,200.00",65,447.20,448.00,130,215.85,447.60,27.90,"5,98,129","-13,161","37,516",
,"37,966","28,295","6,07,203",24.72,69.40,-235.70,"1,365",69.25,69.45,845,"23,250.00",65,485.70,486.80,260,233.15,485.00,30.05,"1,42,307","-5,870","10,078",
,"87,490","47,075","14,34,821",24.89,59.65,-217.80,780,59.60,59.70,390,"23,300.00",130,525.05,526.05,65,253.10,525.75,30.55,"2,65,561","-26,492","18,904",
,"34,501","18,924","5,27,616",25.75,51.15,-200.05,"1,495",51.00,51.15,910,"23,350.00",65,567.00,567.95,65,273.85,568.30,31.00,"51,285","-6,326","5,855",
,"73,744","32,083","11,05,648",25.80,43.75,-180.95,"1,885",43.65,43.75,910,"23,400.00",260,610.10,611.45,260,291.15,610.75,28.48,"1,11,262","-14,854","16,446",
,"28,565","14,325","5,42,984",25.42,37.60,-163.00,"2,015",37.50,37.60,715,"23,450.00",455,653.20,654.50,65,307.05,652.55,28.85,"21,996","-4,326","4,863",
,"1,45,636","73,099","17,96,608",25.70,32.60,-145.75,260,32.55,32.60,455,"23,500.00",195,697.65,699.05,520,323.85,697.55,32.62,"1,16,735","-12,501","24,408",
,"22,913","13,792","4,55,850",25.90,27.75,-129.60,"1,560",27.65,27.75,"2,015","23,550.00",260,743.10,745.40,585,332.30,736.25,34.06,"7,803",-862,"3,024",
,"51,964","24,857","8,13,957",26.40,24.00,-115.35,65,23.90,23.95,"2,600","23,600.00",65,791.00,793.15,65,358.95,792.65,34.38,"19,821","-1,986","6,012",
,"18,265","10,335","4,45,712",26.49,20.65,-101.50,"3,835",20.65,20.75,"5,525","23,650.00",260,836.70,840.10,325,373.75,841.35,36.13,"2,436",-438,"1,821",
,"59,524","20,985","7,88,526",26.84,18.15,-88.30,390,18.10,18.15,"1,235","23,700.00",325,882.75,885.90,65,383.25,883.00,36.31,"7,793","-1,494","7,128",
,"19,936","8,994","3,30,614",27.16,15.70,-77.80,"1,365",15.65,15.75,"3,705","23,750.00",260,931.05,933.30,65,392.30,929.50,36.43,"1,386",-374,"1,751",
,"65,571","21,193","6,87,667",27.53,13.75,-66.95,"1,625",13.70,13.75,"6,890","23,800.00",390,977.80,981.10,"2,015",401.95,978.45,32.39,"8,189","-1,312","10,366",
,"19,133","8,845","2,51,624",27.93,12.05,-58.05,"1,105",12.00,12.05,"4,160","23,850.00",260,"1,023.75","1,032.35",390,418.50,"1,031.95",24.92,619,-106,"2,465",
,"56,459","24,802","4,37,361",28.22,10.55,-49.95,"12,155",10.50,10.60,"19,825","23,900.00",195,"1,073.35","1,077.00",65,417.55,"1,075.00",40.09,"2,545",-745,"3,610",
,"24,117","12,197","2,22,247",28.70,9.45,-42.85,"9,880",9.40,9.45,"5,655","23,950.00",195,"1,120.85","1,132.85",390,424.55,"1,127.10",40.69,196,-54,772,
,"1,65,018","46,508","10,65,787",29.17,8.30,-37.10,"17,485",8.30,8.35,"16,055","24,000.00",65,"1,173.10","1,173.60",130,430.55,"1,173.30",42.14,"27,815","-10,713","29,636",
,"14,711","3,108","1,61,873",29.55,7.35,-31.65,"21,840",7.30,7.40,"23,075","24,050.00",260,"1,224.55","1,229.85",65,436.05,"1,230.45",44.21,120,-23,603,
,"46,791","12,821","3,20,301",29.00,6.45,-27.25,"13,780",6.40,6.45,"44,655","24,100.00",65,"1,269.45","1,275.20",130,445.60,"1,281.70",30.83,499,-100,"2,303",
,"14,147","1,348","1,41,820",29.31,5.80,-23.60,"12,740",5.80,5.85,"8,060","24,150.00",455,"1,317.00","1,329.00","1,820",435.90,"1,318.15",-,104,-55,"1,159",
,"66,517","26,059","3,84,635",30.79,5.25,-19.55,"20,670",5.25,5.30,"48,490","24,200.00",130,"1,369.10","1,376.10",780,451.30,"1,368.90",48.28,"1,691",-542,"5,235",
,"19,774","8,359","1,27,681",31.09,4.55,-16.90,"15,730",4.55,4.60,"29,575","24,250.00","1,300","1,412.70","1,430.15",65,446.05,"1,403.80",40.49,57,-5,816,
