CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,051",-854,"1,236",-,"3,932.00",-385.15,65,"3,916.45","3,931.00",65,"19,000.00","43,290",0.90,0.95,"1,16,805",-0.65,0.90,74.26,"1,86,914","-11,149","75,329",
,"1,511",-43,578,-,"2,925.00",-373.30,130,"2,913.20","2,931.25",520,"20,000.00","1,01,530",1.60,1.65,"2,04,685",-1.90,1.60,58.33,"3,43,516",100,"2,31,883",
,2,-,-,-,-,-,780,"2,380.75","2,454.35",780,"20,500.00","1,78,425",1.80,1.85,"1,04,065",-2.60,1.85,49.47,"1,95,035","6,455","73,316",
,-,-,-,-,-,-,780,"2,255.05","2,474.55",780,"20,550.00","44,525",1.75,1.80,"30,290",-2.70,1.80,48.36,"25,647",735,"3,010",
,-,-,-,-,-,-,"1,690","2,124.90","2,429.85",780,"20,600.00","65,585",1.80,1.85,"40,105",-2.75,1.80,47.56,"37,269","-1,049","5,545",
,-,-,-,-,-,-,780,"2,167.70","2,385.75",780,"20,650.00","65,000",1.85,1.90,"43,160",-2.80,1.85,46.60,"22,051",113,"3,353",
,-,-,-,-,-,-,780,"2,092.70","2,326.00",780,"20,700.00","59,930",1.80,1.85,"74,555",-2.90,1.80,45.51,"46,704","1,450","8,376",
,-,-,-,-,-,-,780,"2,044.75","2,223.25",780,"20,750.00","42,900",1.80,1.85,"28,860",-3.25,1.80,44.84,"19,093",125,"2,066",
,-,-,-,-,-,-,780,"2,078.75","2,179.50",780,"20,800.00","1,20,185",1.85,1.90,"91,260",-3.30,1.90,43.88,"48,034",746,"8,756",
,6,-,6,69.23,"2,135.00",420.00,780,"2,035.60","2,097.90",780,"20,850.00","1,02,245",1.90,1.95,"1,08,615",-3.40,1.90,43.19,"24,599",224,"6,953",
,1,-,-,-,-,-,390,"1,978.80","2,072.85",390,"20,900.00","1,36,890",1.90,1.95,"1,24,995",-3.85,1.90,42.10,"52,988","2,083","9,143",
,3,-,-,-,-,-,"1,690","1,817.35","2,044.60",780,"20,950.00","1,45,535",1.95,2.00,"1,04,520",-4.20,2.00,41.39,"45,746","3,420","10,885",
,"5,060",-281,"2,638",-,"1,932.10",-369.20,195,"1,920.00","1,923.70",65,"21,000.00","1,55,805",2.05,2.10,"3,63,935",-4.40,2.05,40.55,"4,55,120",-78,"1,23,321",
,2,-,-,-,-,-,780,"1,839.95","1,924.15",780,"21,050.00","74,555",2.00,2.05,"77,350",-4.75,2.00,39.59,"39,054",596,"3,751",
,2,-,-,-,-,-,780,"1,689.10","1,887.85",780,"21,100.00","2,03,710",2.10,2.15,"1,40,335",-5.15,2.15,38.95,"1,28,518",366,"12,271",
,2,-,-,-,-,-,780,"1,740.35","1,830.50",780,"21,150.00","48,945",2.20,2.25,"73,775",-5.70,2.20,38.19,"43,454",370,"3,562",
,2,-,-,-,-,-,780,"1,680.00","1,763.45",780,"21,200.00","1,29,740",2.30,2.35,"2,33,285",-5.95,2.30,37.31,"1,51,804","4,862","26,088",
,5,-,-,-,-,-,780,"1,638.45","1,716.40",780,"21,250.00","1,36,825",2.45,2.50,"1,18,235",-6.65,2.50,36.71,"66,163","4,430","8,914",
,1,-,-,-,-,-,780,"1,584.15","1,665.40",780,"21,300.00","1,37,605",2.65,2.70,"3,12,260",-7.00,2.65,36.07,"1,81,053","19,885","43,516",
,-,-,-,-,-,-,780,"1,445.10","1,627.70",780,"21,350.00","13,650",3.05,3.10,"18,980",-7.35,3.10,35.71,"57,377","4,115","8,440",
,8,-,3,48.53,"1,571.05",-357.55,65,"1,518.55","1,544.30",780,"21,400.00",455,3.30,3.35,"47,580",-8.35,3.30,35.06,"1,81,175","13,301","30,744",
,4,-,1,62.65,"1,570.00",69.10,780,"1,439.75","1,498.50",130,"21,450.00","28,925",3.80,3.85,"10,140",-8.50,3.80,34.76,"1,05,897","5,570","11,341",
,"1,096",-115,577,-,"1,435.10",-376.70,65,"1,420.75","1,430.65",260,"21,500.00","55,965",4.30,4.35,"80,210",-9.00,4.30,34.31,"6,29,999","18,150","1,21,487",
,6,-,1,59.51,"1,470.00",74.20,780,"1,348.45","1,395.30",650,"21,550.00","42,510",5.00,5.10,"17,420",-9.75,5.05,34.09,"1,13,482","8,528","12,487",
,15,3,21,27.07,"1,349.15",-380.85,780,"1,294.75","1,343.60",650,"21,600.00","46,930",5.65,5.75,"44,070",-10.15,5.65,33.58,"2,95,430","6,367","26,657",
,7,-,-,-,-,-,780,"1,246.40","1,321.50",780,"21,650.00","10,725",6.70,6.75,"5,005",-10.50,6.75,33.32,"1,07,610","3,921","9,707",
,28,-14,20,33.86,"1,257.25",-360.65,715,"1,224.10","1,232.60",130,"21,700.00","34,645",7.75,7.85,"24,570",-11.10,7.80,33.07,"3,51,831","13,614","46,759",
,16,3,25,22.96,"1,198.80",77.25,780,"1,137.90","1,188.65",910,"21,750.00","10,400",9.05,9.15,"15,145",-11.50,9.05,32.69,"1,74,124","6,352","14,927",
,100,-7,49,-,"1,125.20",-420.35,65,"1,126.75","1,141.35",260,"21,800.00","7,085",10.25,10.30,"3,185",-11.65,10.15,32.31,"4,61,291","48,715","86,489",
,6,-3,10,-,"1,086.95",-25.75,260,"1,068.75","1,092.35",130,"21,850.00",780,12.20,12.25,"3,900",-11.55,12.05,32.17,"1,64,266","6,694","11,325",
,132,-49,130,-,"1,043.10",-372.25,65,"1,033.95","1,037.60",260,"21,900.00","1,430",14.35,14.40,"3,705",-11.90,14.40,31.95,"3,75,091","12,985","38,108",
,4,-8,27,-,"1,005.10",-378.95,260,983.50,990.45,260,"21,950.00",325,16.90,16.95,"1,430",-11.95,16.90,31.73,"1,87,837","11,431","18,414",
,"12,641","-2,594","12,208",-,941.85,-380.20,260,938.95,941.20,260,"22,000.00","4,355",19.80,19.90,"7,800",-11.00,19.90,31.61,"11,90,052","42,879","1,64,905",
,72,-2,76,-,885.00,-414.75,520,886.25,897.95,325,"22,050.00","2,405",23.00,23.10,"1,105",-11.20,23.05,31.33,"2,36,952","10,107","19,336",
,397,20,217,20.69,862.70,-370.45,65,845.85,849.85,325,"22,100.00",520,26.55,26.65,"1,235",-10.40,26.60,31.06,"4,91,756","12,436","28,260",
,111,23,117,23.51,801.55,-385.30,260,799.30,802.15,325,"22,150.00",910,30.85,30.90,"1,300",-9.65,30.85,30.85,"3,08,374","10,506","17,304",
,"1,397",148,"2,480",18.64,767.75,-376.75,65,754.85,757.30,195,"22,200.00","1,495",35.50,35.60,"2,730",-8.20,35.60,30.63,"6,04,360","18,316","43,319",
,234,-6,111,21.91,723.15,-379.95,130,703.95,715.25,65,"22,250.00","3,705",41.00,41.15,"1,170",-6.25,41.05,30.45,"3,78,914","15,185","20,716",
,"2,433","-1,059","4,432",22.78,666.65,-380.50,455,666.50,668.70,65,"22,300.00","1,430",47.20,47.30,"1,690",-4.20,47.30,30.24,"6,88,820","17,619","50,727",
,404,-49,230,25.29,630.55,-377.40,325,622.90,627.55,260,"22,350.00",585,54.25,54.40,"2,405",-1.05,54.35,30.06,"3,16,129","9,582","20,263",
,"2,515",278,"4,030",23.71,585.20,-376.55,65,580.70,582.45,65,"22,400.00","2,080",62.15,62.25,"1,365",1.25,62.15,29.84,"6,63,491","20,355","56,648",
,992,37,"1,432",25.47,544.70,-366.40,455,540.00,541.45,130,"22,450.00",65,71.00,71.10,260,4.85,71.15,29.69,"4,05,677","12,080","24,073",
,"21,616",-490,"58,166",24.08,502.45,-367.30,130,500.00,501.10,520,"22,500.00","2,340",81.20,81.30,130,9.15,81.25,29.49,"20,39,804","43,735","1,39,604",
,"2,050",234,"3,877",24.57,462.15,-366.65,65,462.20,463.20,130,"22,550.00",715,92.10,92.25,390,14.30,92.30,29.31,"5,85,833","16,805","24,018",
,"7,855",200,"24,471",24.36,425.65,-354.05,130,423.55,424.35,195,"22,600.00",455,104.60,104.85,"1,495",20.05,104.85,29.17,"9,18,190","18,175","57,051",
,"2,270",166,"9,381",24.53,387.95,-354.15,65,387.70,388.50,260,"22,650.00",195,118.40,118.70,520,25.60,118.55,29.02,"4,52,999","10,505","19,160",
,"12,476","2,428","59,989",24.44,353.10,-349.65,130,352.70,353.40,325,"22,700.00",65,134.05,134.30,"1,625",33.25,134.00,28.91,"9,46,348","23,381","58,044",
,"4,132",807,"35,130",24.65,320.30,-343.65,325,320.80,321.40,325,"22,750.00",780,150.40,150.70,715,41.30,150.85,28.82,"6,18,157","15,357","27,010",
,"26,462","11,097","2,27,004",24.51,288.70,-333.45,455,288.70,289.20,325,"22,800.00",455,169.40,169.75,"2,015",50.20,169.45,28.74,"16,15,121","35,043","80,516",
,"8,357","6,604","1,47,871",24.69,260.30,-319.05,65,259.85,260.30,715,"22,850.00","1,170",189.60,189.90,65,60.45,190.00,28.65,"8,63,315","23,431","31,678",
,"61,857","47,948","8,10,530",24.63,231.75,-310.00,260,231.90,232.30,325,"22,900.00",455,212.15,212.50,650,70.50,211.95,28.66,"21,08,160","64,145","96,314",
,"51,158","48,712","9,33,483",24.57,205.45,-298.20,130,205.50,205.80,260,"22,950.00",520,236.20,236.65,195,82.40,236.20,28.58,"16,36,836","37,891","48,270",
,"1,84,452","1,37,754","25,02,074",24.67,181.75,-287.25,65,181.70,182.00,195,"23,000.00",390,262.20,262.60,195,95.65,262.50,28.60,"34,56,532","46,769","1,57,413",
,"58,753","53,453","10,68,554",24.63,159.80,-273.70,"1,430",159.80,160.15,65,"23,050.00",65,290.15,290.60,130,109.20,290.60,28.65,"10,98,092","16,314","28,519",
,"90,457","77,747","15,46,466",24.69,140.60,-257.75,"1,560",140.40,140.75,"1,755","23,100.00",195,319.65,320.20,130,123.30,320.20,28.84,"12,10,140","13,957","41,732",
,"39,454","33,610","6,64,132",24.71,122.35,-242.35,130,122.20,122.40,65,"23,150.00",65,351.85,352.55,130,138.90,352.65,28.89,"3,38,678","-3,415","11,805",
