CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,543",-362,634,-,"3,970.00",-347.15,65,"3,945.65","3,960.75",65,"19,000.00","39,065",1.20,1.25,"3,99,620",-0.35,1.20,75.44,"1,37,840","-7,196","79,282",
,"1,519",-35,320,-,"2,950.00",-348.30,130,"2,944.85","2,955.05",65,"20,000.00","2,11,380",1.90,1.95,"2,79,305",-1.60,1.90,59.63,"2,25,598",20,"2,31,802",
,2,-,-,-,-,-,780,"2,412.30","2,508.90",845,"20,500.00","1,42,740",1.95,2.00,"86,450",-2.45,2.00,50.56,"1,55,862","8,057","74,918",
,-,-,-,-,-,-,780,"2,344.20","2,492.70",780,"20,550.00","49,010",1.95,2.00,"41,730",-2.50,2.00,49.73,"21,348",733,"3,008",
,-,-,-,-,-,-,975,"2,050.80","2,735.15",780,"20,600.00","27,365",2.05,2.10,"67,015",-2.50,2.05,48.89,"32,652","-1,125","5,469",
,-,-,-,-,-,-,780,"2,167.80","2,376.45",780,"20,650.00","23,140",2.10,2.15,"40,755",-2.50,2.15,48.17,"18,862",393,"3,633",
,-,-,-,-,-,-,780,"2,029.90","2,346.00",780,"20,700.00","84,305",2.10,2.15,"78,585",-2.60,2.10,47.07,"38,198",684,"7,610",
,-,-,-,-,-,-,780,"1,946.95","2,301.55",780,"20,750.00","23,010",2.15,2.20,"40,625",-2.90,2.15,46.10,"13,901",606,"2,547",
,-,-,-,-,-,-,780,"2,093.10","2,219.75",780,"20,800.00","93,730",2.15,2.20,"85,475",-3.05,2.15,45.24,"36,280","2,715","10,725",
,6,-,-,-,-,-,780,"1,989.35","2,123.70",780,"20,850.00","97,435",2.30,2.35,"85,215",-2.95,2.35,44.71,"19,746",154,"6,883",
,1,-,-,-,-,-,780,"2,008.45","2,111.70",780,"20,900.00","1,28,115",2.40,2.45,"1,11,280",-3.35,2.40,44.04,"38,632","1,835","8,895",
,3,-,-,-,-,-,"1,690","1,830.30","2,025.75",780,"20,950.00","1,40,400",2.50,2.55,"1,34,810",-3.65,2.55,43.35,"33,968","3,556","11,021",
,"5,206",-135,"1,184",-,"1,948.05",-353.25,195,"1,948.10","1,956.00",65,"21,000.00","2,99,650",2.60,2.65,"1,12,190",-3.80,2.65,42.64,"3,26,899","8,522","1,31,921",
