CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,467",-438,716,-,"3,935.30",-381.85,65,"3,931.70","3,944.65",260,"19,000.00","98,020",1.30,1.35,"89,570",-0.25,1.30,75.43,"1,53,256","-10,068","76,410",
,"1,494",-60,355,-,"2,936.00",-362.30,260,"2,927.90","2,934.65",65,"20,000.00","1,55,805",1.95,2.00,"2,84,700",-1.50,2.00,59.62,"2,36,904",-154,"2,31,628",
,2,-,-,-,-,-,910,"2,397.70","2,474.25",910,"20,500.00","97,370",2.10,2.15,"1,13,230",-2.35,2.10,50.56,"1,60,097","8,186","75,047",
,-,-,-,-,-,-,780,"2,254.85","2,477.00",780,"20,550.00","37,635",2.10,2.15,"36,920",-2.45,2.05,49.72,"21,987",679,"2,954",
,-,-,-,-,-,-,"1,690","2,065.40","2,696.30",780,"20,600.00","30,160",2.15,2.20,"70,655",-2.40,2.15,48.88,"33,306","-1,159","5,435",
,-,-,-,-,-,-,780,"2,167.75","2,367.95",780,"20,650.00","54,795",2.15,2.20,"47,645",-2.50,2.15,48.16,"19,237",456,"3,696",
,-,-,-,-,-,-,780,"2,191.45","2,330.00",780,"20,700.00","68,510",2.15,2.20,"75,855",-2.50,2.20,47.06,"39,973","1,311","8,237",
,-,-,-,-,-,-,780,"2,142.45","2,286.60",780,"20,750.00","37,960",2.20,2.25,"48,100",-2.85,2.20,46.09,"14,459",540,"2,481",
,-,-,-,-,-,-,780,"2,092.60","2,204.35",780,"20,800.00","90,740",2.25,2.30,"1,07,705",-2.95,2.25,45.24,"37,475","2,615","10,625",
,6,-,-,-,-,-,780,"1,991.75","2,129.05",780,"20,850.00","96,460",2.35,2.40,"83,395",-2.95,2.35,44.71,"20,151",107,"6,836",
,1,-,-,-,-,-,780,"1,992.55","2,098.45",780,"20,900.00","94,120",2.40,2.45,"1,64,125",-3.30,2.45,44.04,"43,285","2,715","9,775",
,3,-,-,-,-,-,390,"1,937.70","2,037.25",780,"20,950.00","1,68,805",2.55,2.60,"1,35,655",-3.60,2.60,43.34,"37,140","3,629","11,094",
,"5,299",-42,"1,347",-,"1,931.60",-369.70,260,"1,931.40","1,935.00",650,"21,000.00","2,89,250",2.70,2.75,"2,64,485",-3.75,2.70,42.54,"3,44,978","6,697","1,30,096",
