CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,247",-658,"1,019",-,"3,935.00",-382.15,65,"3,927.30","3,935.00",260,"19,000.00","42,120",1.05,1.10,"1,21,550",-0.50,1.05,75.34,"1,67,511","-10,731","75,747",
,"1,518",-36,499,-,"2,940.00",-358.30,65,"2,930.00","2,932.85",65,"20,000.00","1,62,240",1.70,1.75,"2,44,075",-1.75,1.75,59.15,"2,95,931","5,513","2,37,296",
,2,-,-,-,-,-,780,"2,414.50","2,460.85",845,"20,500.00","1,83,885",1.90,1.95,"96,460",-2.55,1.90,50.08,"1,83,557","7,682","74,543",
,-,-,-,-,-,-,780,"2,339.05","2,462.80",780,"20,550.00","42,250",1.90,1.95,"21,905",-2.55,1.95,49.13,"24,420",713,"2,988",
,-,-,-,-,-,-,"1,690","2,111.05","2,537.90",780,"20,600.00","94,445",1.95,2.00,"56,615",-2.55,2.00,48.17,"35,489","-1,108","5,486",
,-,-,-,-,-,-,780,"2,167.95","2,369.35",780,"20,650.00","64,545",2.00,2.05,"51,870",-2.65,2.00,47.22,"21,039",223,"3,463",
,-,-,-,-,-,-,780,"2,087.10","2,308.60",780,"20,700.00","92,235",1.95,2.00,"87,165",-2.75,1.95,46.26,"44,871","1,515","8,441",
,-,-,-,-,-,-,780,"2,039.40","2,276.20",780,"20,750.00","29,185",2.00,2.05,"40,690",-3.05,2.00,45.31,"17,585",131,"2,072",
,-,-,-,-,-,-,780,"1,762.85","2,181.60",780,"20,800.00","54,860",2.05,2.10,"1,00,945",-3.15,2.05,44.62,"43,786","2,046","10,056",
,6,-,-,-,-,-,780,"1,939.05","2,169.50",780,"20,850.00","47,905",2.15,2.20,"87,100",-3.15,2.15,43.66,"23,114",160,"6,889",
,1,-,-,-,-,-,780,"1,992.80","2,102.80",780,"20,900.00","1,33,575",2.15,2.20,"1,12,775",-3.60,2.15,42.83,"50,092","2,113","9,173",
,3,-,-,-,-,-,390,"1,939.65","2,063.20",780,"20,950.00","78,000",2.30,2.35,"1,33,315",-3.90,2.30,41.99,"43,604","3,403","10,868",
