CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,218",-687,"1,083",-,"3,942.00",-375.15,130,"3,939.50","3,950.95",65,"19,000.00","64,740",1.10,1.15,"1,28,830",-0.45,1.10,75.34,"1,68,580","-10,865","75,613",
,"1,518",-36,516,-,"2,944.90",-353.40,65,"2,942.00","2,949.10",780,"20,000.00","1,46,510",1.75,1.80,"6,09,375",-1.70,1.80,59.15,"2,98,088","5,047","2,36,830",
,2,-,-,-,-,-,845,"2,416.25","2,482.60",910,"20,500.00","45,305",1.90,1.95,"85,280",-2.50,1.95,50.08,"1,85,994","7,448","74,309",
,-,-,-,-,-,-,780,"2,254.85","2,455.95",780,"20,550.00","39,325",1.90,1.95,"42,640",-2.60,1.90,49.13,"24,514",720,"2,995",
,-,-,-,-,-,-,"1,690","2,111.80","2,511.00",780,"20,600.00","80,405",1.95,2.00,"59,410",-2.55,2.00,48.17,"35,503","-1,100","5,494",
,-,-,-,-,-,-,780,"2,223.55","2,361.25",780,"20,650.00","20,085",2.00,2.05,"61,490",-2.60,2.05,47.22,"21,211",226,"3,466",
,-,-,-,-,-,-,780,"2,087.10","2,302.95",780,"20,700.00","90,155",1.95,2.00,"82,160",-2.70,2.00,46.26,"45,072","1,552","8,478",
,-,-,-,-,-,-,780,"2,039.40","2,265.55",780,"20,750.00","12,415",2.00,2.05,"43,680",-3.05,2.00,45.31,"17,890",111,"2,052",
,-,-,-,-,-,-,780,"1,789.75","2,205.25",780,"20,800.00","1,18,560",2.00,2.05,"73,190",-3.20,2.00,44.62,"44,369","2,126","10,136",
,6,-,-,-,-,-,780,"2,036.05","2,167.20",780,"20,850.00","86,645",2.10,2.15,"84,825",-3.20,2.10,43.66,"23,293",192,"6,921",
,1,-,-,-,-,-,780,"2,000.70","2,102.00",780,"20,900.00","1,46,445",2.10,2.15,"1,08,875",-3.65,2.10,42.83,"50,476","2,117","9,177",
,3,-,-,-,-,-,390,"1,924.50","2,029.95",780,"20,950.00","1,53,985",2.20,2.25,"1,03,870",-3.95,2.25,41.99,"43,831","3,395","10,860",
,"4,931",-410,"2,282",-,"1,932.80",-368.50,195,"1,938.35","1,946.95",195,"21,000.00","3,30,525",2.25,2.30,"2,81,060",-4.20,2.25,41.26,"4,23,908","3,039","1,26,438",
,2,-,-,-,-,-,780,"1,780.55","1,916.00",780,"21,050.00","75,725",2.30,2.35,"71,630",-4.45,2.30,40.18,"36,178",422,"3,577",
,2,-,-,-,-,-,780,"1,734.35","1,899.80",780,"21,100.00","1,93,505",2.45,2.50,"1,23,825",-4.85,2.45,39.54,"1,21,212","1,265","13,170",
,2,-,-,-,-,-,780,"1,746.25","1,836.00",780,"21,150.00","93,730",2.55,2.60,"50,505",-5.35,2.55,38.88,"40,428",371,"3,563",
,2,-,-,-,-,-,780,"1,695.50","1,755.75",715,"21,200.00","2,36,795",2.65,2.70,"1,15,570",-5.60,2.65,38.09,"1,40,207","6,271","27,497",
,5,-,-,-,-,-,780,"1,634.95","1,714.05",780,"21,250.00","1,01,075",2.90,2.95,"1,28,895",-6.25,2.90,37.48,"59,658","4,690","9,174",
,1,-,-,-,-,-,780,"1,620.20","1,689.45",780,"21,300.00","66,235",3.05,3.10,"31,135",-6.55,3.10,36.82,"1,68,041","21,022","44,653",
,-,-,-,-,-,-,780,"1,544.70","1,643.55",780,"21,350.00","33,345",3.45,3.55,"39,975",-6.95,3.50,36.44,"53,860","4,472","8,797",
,8,-,3,-,"1,571.05",-357.55,130,"1,527.50","1,560.80",65,"21,400.00","39,000",3.75,3.80,"20,345",-7.90,3.75,35.85,"1,70,456","12,245","29,688",
,4,-,1,55.64,"1,570.00",69.10,780,"1,461.90","1,508.65",65,"21,450.00","27,885",4.30,4.35,"14,885",-7.95,4.35,35.53,"94,423","6,805","12,576",
,"1,183",-28,438,-,"1,440.05",-371.75,130,"1,441.35","1,448.00",65,"21,500.00","56,615",4.75,4.80,"72,475",-8.50,4.80,34.90,"5,79,455","21,142","1,24,479",
,6,-,1,52.76,"1,470.00",74.20,780,"1,361.60","1,411.70",780,"21,550.00","3,575",5.50,5.55,"18,070",-9.30,5.50,34.74,"1,02,796","7,502","11,461",
,16,4,19,29.39,"1,377.70",-352.30,845,"1,325.40","1,356.05",65,"21,600.00","11,245",6.25,6.30,"40,820",-9.55,6.25,34.31,"2,72,714","7,505","27,795",
,7,-,-,-,-,-,"2,535","1,247.80","1,307.45",715,"21,650.00","2,405",7.25,7.30,"14,820",-10.00,7.25,34.10,"98,350","4,098","9,884",
,28,-14,20,-,"1,257.25",-360.65,715,"1,231.70","1,252.55",65,"21,700.00","36,920",8.35,8.45,"36,985",-10.45,8.45,33.83,"3,24,528","14,210","47,355",
,16,3,25,-,"1,198.80",77.25,65,"1,197.30","1,212.45",65,"21,750.00","10,270",9.45,9.55,"13,780",-11.05,9.50,33.42,"1,53,758","6,460","15,035",
,101,-6,41,-,"1,144.10",-401.45,65,"1,148.75","1,165.60",260,"21,800.00","11,635",10.85,10.90,"9,685",-10.90,10.90,32.98,"4,09,361","49,898","87,672",
,6,-3,10,-,"1,086.95",-25.75,195,"1,086.75","1,115.15",260,"21,850.00","3,250",12.65,12.70,"2,275",-10.95,12.65,32.75,"1,49,006","7,119","11,750",
,129,-52,113,-,"1,064.75",-350.60,130,"1,041.00","1,058.70",65,"21,900.00","14,040",14.70,14.80,"9,295",-11.55,14.75,32.56,"3,32,263","11,393","36,516",
,5,-7,18,-,"1,023.65",-360.40,"1,300",995.60,"1,011.95",260,"21,950.00",520,17.25,17.30,"1,235",-11.60,17.25,32.46,"1,64,886","11,497","18,480",
,"13,001","-2,234","10,454",18.85,959.60,-362.45,260,959.80,962.50,325,"22,000.00","8,320",20.00,20.10,"6,435",-10.80,20.10,32.16,"10,49,289","40,502","1,62,528",
,72,-2,67,23.35,945.00,-354.75,585,908.80,918.15,195,"22,050.00","3,380",23.05,23.15,"2,925",-11.20,23.05,31.97,"2,04,359","11,451","20,680",
,395,18,114,24.85,850.00,-383.15,65,865.50,871.45,65,"22,100.00","2,665",26.60,26.65,195,-10.45,26.55,31.73,"4,32,802","15,794","31,618",
,103,15,81,26.35,820.00,-366.85,130,819.30,824.10,260,"22,150.00","3,445",30.60,30.70,"4,420",-9.90,30.60,31.52,"2,62,003","11,570","18,368",
,"1,360",111,"1,763",26.79,770.40,-374.10,325,775.70,777.50,195,"22,200.00","1,430",35.10,35.20,"2,405",-8.60,35.20,31.25,"5,21,136","20,975","45,978",
,233,-7,87,26.10,718.75,-384.35,65,730.05,736.25,520,"22,250.00","1,300",40.35,40.45,65,-6.90,40.40,31.05,"3,25,208","15,756","21,287",
,"2,477","-1,015","3,926",26.91,680.15,-367.00,195,687.30,689.35,65,"22,300.00","4,095",46.30,46.40,"1,690",-5.05,46.45,30.79,"5,92,839","20,786","53,894",
,401,-52,204,27.20,660.20,-347.75,260,643.65,645.95,325,"22,350.00","1,820",53.05,53.20,975,-2.10,53.30,30.57,"2,61,877","9,288","19,969",
,"2,473",236,"3,251",27.11,601.60,-360.15,390,601.50,602.85,65,"22,400.00",195,60.65,60.80,"3,055",-0.15,60.75,30.36,"5,70,507","16,527","52,820",
,960,5,"1,213",27.61,554.55,-356.55,455,559.80,561.65,195,"22,450.00","1,690",69.10,69.25,65,2.80,69.10,30.26,"3,47,889","10,179","22,172",
,"21,980",-126,"49,594",27.09,520.60,-349.15,65,519.45,520.45,130,"22,500.00",585,78.70,78.90,"2,275",6.80,78.90,29.96,"17,65,058","45,849","1,41,718",
,"1,971",155,"2,843",27.06,478.50,-350.30,455,480.40,481.45,130,"22,550.00",520,89.40,89.60,975,11.85,89.85,29.79,"4,99,253","16,522","23,735",
,"7,948",293,"19,165",27.04,441.60,-338.10,325,442.10,442.60,65,"22,600.00",260,101.55,101.70,195,16.65,101.45,29.57,"7,77,127","17,510","56,386",
,"2,252",148,"7,656",26.91,405.60,-336.50,65,405.60,406.50,325,"22,650.00",260,114.75,115.00,65,22.10,115.05,29.36,"3,85,619","10,271","18,926",
,"11,670","1,622","46,470",26.85,370.70,-332.05,715,370.00,370.70,65,"22,700.00",455,129.65,129.90,975,28.90,129.65,29.23,"7,97,798","19,801","54,464",
,"4,194",869,"26,328",26.87,337.00,-326.95,65,336.70,337.30,325,"22,750.00",65,145.95,146.20,650,36.65,146.20,29.01,"5,18,671","12,898","24,551",
,"24,238","8,873","1,77,514",26.64,305.00,-317.15,65,304.95,305.40,585,"22,800.00","1,495",163.85,164.10,130,44.80,164.05,29.03,"13,71,585","34,566","80,039",
,"7,570","5,817","1,09,671",26.69,275.00,-304.35,130,275.00,275.50,585,"22,850.00",455,183.50,183.85,585,54.25,183.80,28.80,"7,26,042","21,760","30,007",
,"51,313","37,404","5,87,515",26.68,247.00,-294.75,455,246.55,247.00,455,"22,900.00",65,205.05,205.20,195,63.75,205.20,28.68,"17,16,154","62,324","94,493",
,"46,815","44,369","6,96,339",26.56,219.90,-283.75,325,219.90,220.10,65,"22,950.00",65,228.25,228.50,130,74.70,228.50,28.58,"13,62,660","40,851","51,230",
,"1,78,914","1,32,216","20,71,535",26.49,195.15,-273.85,390,194.95,195.25,65,"23,000.00",195,253.85,254.10,975,87.50,254.35,28.48,"30,54,849","48,403","1,59,047",
,"59,290","53,990","9,37,597",26.39,172.30,-261.20,65,172.05,172.30,260,"23,050.00",195,280.60,281.15,195,100.00,281.40,28.48,"10,28,305","16,302","28,507",
,"92,629","79,919","13,36,343",26.40,151.30,-247.05,520,151.20,151.45,325,"23,100.00",130,309.80,310.45,390,113.35,310.25,28.38,"11,12,249","15,685","43,460",
,"38,052","32,208","5,69,958",26.21,132.35,-232.35,390,132.25,132.40,65,"23,150.00",65,340.25,340.90,65,127.85,341.60,28.53,"3,16,773","-2,904","12,316",
,"1,02,769","75,941","11,61,796",26.29,115.30,-219.70,390,115.10,115.20,715,"23,200.00",195,373.10,373.70,65,142.10,373.85,28.54,"5,04,809","-4,681","45,996",
,"39,799","30,128","4,47,163",26.21,99.95,-205.15,260,99.70,99.90,"1,755","23,250.00",65,407.65,408.40,65,157.60,409.45,28.46,"1,27,490","-5,243","10,705",
,"95,233","54,818","10,70,828",26.25,86.20,-191.25,"1,950",86.25,86.40,"1,170","23,300.00",65,443.85,444.65,325,171.50,444.15,28.40,"2,26,647","-22,469","22,927",
,"32,694","17,117","3,89,044",26.23,74.05,-177.15,455,74.10,74.25,585,"23,350.00",130,482.45,483.50,390,188.65,483.10,28.81,"43,685","-5,874","6,307",
,"79,801","38,140","8,06,175",26.25,63.65,-161.05,"2,275",63.65,63.80,"1,950","23,400.00",65,521.50,522.65,325,200.70,520.30,28.99,"94,326","-12,008","19,292",
,"32,322","18,082","3,72,152",26.32,54.50,-146.10,"1,040",54.40,54.55,"2,015","23,450.00",325,562.35,563.60,130,216.40,561.90,29.05,"19,374","-4,156","5,033",
,"1,53,321","80,784","12,99,542",26.33,46.70,-131.65,"3,965",46.55,46.70,"5,915","23,500.00",65,603.90,605.20,65,232.15,605.85,29.19,"93,138","-9,610","27,299",
,"27,490","18,369","3,32,513",26.46,39.75,-117.60,"3,250",39.70,39.85,"2,210","23,550.00",130,647.10,649.35,130,254.55,658.50,29.73,"6,846",-878,"3,008",
,"61,111","34,004","6,16,144",26.59,33.75,-105.60,"5,200",33.75,33.85,"8,385","23,600.00",130,691.00,692.40,325,256.30,690.00,30.60,"15,118","-1,776","6,222",
,"20,098","12,168","3,36,592",26.73,28.80,-93.35,"8,515",28.80,28.90,"4,420","23,650.00",260,736.40,739.05,"1,820",268.45,736.05,30.46,"2,147",-400,"1,859",
,"55,804","17,265","6,03,076",26.89,24.60,-81.85,"1,365",24.60,24.70,"4,290","23,700.00",260,781.70,783.45,65,280.95,780.70,30.48,"6,284","-1,196","7,426",
,"20,175","9,233","2,56,325",26.98,21.00,-72.50,"4,225",20.95,21.05,"1,235","23,750.00",65,825.40,830.70,65,299.75,836.95,30.83,"1,131",-263,"1,862",
,"68,929","24,551","5,35,194",27.21,17.85,-62.85,"2,730",17.85,17.90,"3,510","23,800.00",130,874.75,877.35,325,299.50,876.00,31.36,"6,585",-898,"10,780",
,"21,793","11,505","1,98,453",27.43,15.35,-54.75,"2,730",15.35,15.40,"1,885","23,850.00",260,922.90,925.90,65,320.20,933.65,32.67,491,-29,"2,542",
,"56,762","25,105","3,29,919",27.62,13.15,-47.35,"6,240",13.15,13.20,"10,595","23,900.00",130,968.75,973.65,260,326.80,984.25,35.26,"2,041",-459,"3,896",
,"22,114","10,194","1,64,793",27.93,11.55,-40.75,"7,085",11.50,11.60,"10,010","23,950.00",260,"1,018.45","1,021.60",65,310.90,"1,013.45",35.44,148,-23,803,
,"1,70,409","51,899","8,17,164",28.27,10.10,-35.30,"25,935",10.00,10.05,260,"24,000.00",325,"1,066.65","1,070.30",65,325.55,"1,068.30",35.14,"18,642","-5,634","34,715",
,"17,154","5,551","1,23,852",28.46,8.70,-30.30,"21,125",8.60,8.70,"12,155","24,050.00",195,"1,112.00","1,123.55",715,310.10,"1,104.50",36.62,66,-21,605,
,"38,978","5,008","2,34,809",28.73,7.55,-26.15,"41,145",7.50,7.55,"22,165","24,100.00",585,"1,161.75","1,168.05",325,348.90,"1,185.00",31.56,259,-85,"2,318",
,"15,271","2,472","1,16,408",29.04,6.50,-22.90,"22,230",6.50,6.55,"3,770","24,150.00",130,"1,211.95","1,219.70",65,319.50,"1,201.75",38.86,71,-38,"1,176",
,"53,087","12,629","2,75,879",29.28,5.75,-19.05,"45,370",5.75,5.80,"19,630","24,200.00",130,"1,260.30","1,267.65",65,364.30,"1,281.90",31.98,"1,222",-356,"5,421",
,"21,948","10,533","90,394",29.70,5.15,-16.30,"17,355",5.10,5.15,"11,895","24,250.00",780,"1,307.25","1,323.35",65,332.85,"1,290.60",37.16,44,-4,817,
,"60,140","31,247","2,67,817",30.05,4.55,-14.30,"1,65,815",4.50,4.55,"62,075","24,300.00",130,"1,360.75","1,367.80",130,356.85,"1,373.30",38.86,"1,861",-624,"4,469",
