CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,519",-386,645,-,"3,952.00",-365.15,65,"3,933.80","3,946.00",65,"19,000.00","58,890",1.20,1.25,"3,88,700",-0.35,1.20,75.43,"1,38,346","-7,376","79,102",
,"1,519",-35,320,-,"2,950.00",-348.30,130,"2,935.00","2,940.55",65,"20,000.00","3,10,440",1.85,1.90,"2,84,895",-1.65,1.85,59.62,"2,27,484",911,"2,32,693",
,2,-,-,-,-,-,715,"2,427.45","2,489.90",845,"20,500.00","1,43,520",2.00,2.05,"1,30,715",-2.40,2.05,50.56,"1,56,610","7,449","74,310",
,-,-,-,-,-,-,780,"2,254.85","2,488.45",780,"20,550.00","21,190",2.00,2.05,"52,715",-2.50,2.00,49.72,"21,535",694,"2,969",
,-,-,-,-,-,-,"1,690","2,055.55","2,723.05",780,"20,600.00","25,025",2.05,2.10,"67,275",-2.50,2.05,48.88,"32,810","-1,143","5,451",
,-,-,-,-,-,-,780,"2,167.65","2,372.35",780,"20,650.00","55,575",2.05,2.10,"12,870",-2.60,2.05,48.16,"19,006",370,"3,610",
,-,-,-,-,-,-,780,"2,039.30","2,340.90",780,"20,700.00","86,840",2.10,2.15,"76,115",-2.55,2.15,47.06,"38,499",653,"7,579",
,-,-,-,-,-,-,780,"1,957.10","2,297.65",780,"20,750.00","19,045",2.15,2.20,"41,145",-2.90,2.15,46.09,"14,054",573,"2,514",
,-,-,-,-,-,-,780,"2,026.85","2,217.05",780,"20,800.00","1,04,065",2.15,2.20,"96,330",-3.00,2.20,45.24,"36,712","2,763","10,773",
,6,-,-,-,-,-,780,"1,989.70","2,111.30",780,"20,850.00","85,800",2.30,2.35,"84,630",-3.00,2.30,44.71,"19,942",128,"6,857",
,1,-,-,-,-,-,715,"2,019.10","2,110.55",780,"20,900.00","1,24,995",2.40,2.45,"1,43,260",-3.35,2.40,44.04,"40,065","2,090","9,150",
,3,-,-,-,-,-,715,"1,830.35","2,015.85",780,"20,950.00","1,47,875",2.55,2.60,"1,71,730",-3.65,2.55,43.34,"34,939","3,550","11,015",
,"5,269",-72,"1,229",-,"1,941.00",-360.30,780,"1,935.00","1,940.95",130,"21,000.00","1,68,675",2.65,2.70,"3,04,720",-3.75,2.70,42.54,"3,31,118","8,461","1,31,860",
,2,-,-,-,-,-,715,"1,875.70","1,937.25",780,"21,050.00","92,690",2.70,2.75,"75,140",-4.05,2.70,41.81,"28,630","1,138","4,293",
