CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,930,-975,"1,488",-,"3,836.45",-480.70,130,"3,825.60","3,834.75",65,"19,000.00","3,78,820",1.00,1.05,"4,82,755",-0.55,1.00,73.92,"2,26,695","-12,578","73,900",
,"1,497",-57,823,-,"2,835.60",-462.70,780,"2,822.75","2,837.30",390,"20,000.00","3,07,645",1.60,1.65,"2,26,460",-1.90,1.60,58.16,"4,34,603","-4,623","2,27,160",
,2,-,-,-,-,-,585,"2,285.85","2,382.25",520,"20,500.00","1,78,165",1.80,1.85,"1,42,155",-2.65,1.80,49.02,"2,36,721","2,817","69,678",
,-,-,-,-,-,-,"1,690","2,117.15","2,409.10","1,690","20,550.00","29,380",1.80,1.85,"32,890",-2.70,1.80,48.05,"28,750",446,"2,721",
,-,-,-,-,-,-,390,"2,174.50","2,280.00",390,"20,600.00","50,310",1.80,1.85,"23,660",-2.70,1.85,47.20,"45,847","-1,166","5,428",
,-,-,-,-,-,-,390,"2,124.65","2,229.20",390,"20,650.00","16,120",1.80,1.85,"39,455",-2.80,1.85,46.10,"24,496",178,"3,418",
,-,-,-,-,-,-,390,"2,073.90","2,179.10",390,"20,700.00","94,055",1.75,1.80,"42,965",-2.90,1.80,45.25,"60,909","1,306","8,232",
,-,-,-,-,-,-,"1,690","1,932.85","2,173.40","1,690","20,750.00","39,455",1.75,1.80,"30,420",-3.30,1.75,44.39,"23,741",42,"1,983",
,-,-,-,-,-,-,390,"1,975.05","2,078.80",390,"20,800.00","97,825",1.85,1.90,"63,570",-3.30,1.90,43.64,"84,097","3,745","11,755",
,6,-,6,91.61,"2,135.00",420.00,390,"1,939.15","2,040.15",390,"20,850.00","73,840",1.85,1.90,"75,985",-3.40,1.90,42.66,"31,046",-227,"6,502",
,1,-,-,-,-,-,390,"1,889.25","1,981.50",390,"20,900.00","1,19,275",1.85,1.90,"1,40,725",-3.90,1.85,41.68,"78,386","2,306","9,366",
,3,-,-,-,-,-,"1,690","1,651.95","1,958.35","1,690","20,950.00","1,23,175",1.90,1.95,"1,40,010",-4.30,1.90,40.91,"57,543","3,570","11,035",
,"5,324",-17,"4,353",-,"1,831.00",-470.30,65,"1,824.75","1,829.55",195,"21,000.00","1,51,710",1.95,2.00,"3,44,240",-4.45,2.00,40.03,"6,22,045","-13,785","1,09,614",
,2,-,-,-,-,-,"1,690","1,626.70","1,844.10","1,690","21,050.00","45,500",1.90,1.95,"81,250",-4.80,1.95,39.23,"62,098","1,669","4,824",
,2,-,-,-,-,-,715,"1,626.40","1,806.70",715,"21,100.00","92,235",2.05,2.10,"1,57,105",-5.20,2.10,38.69,"1,72,321","-1,227","10,678",
,2,-,-,-,-,-,390,"1,640.10","1,726.05",390,"21,150.00","71,370",2.10,2.15,"53,105",-5.75,2.15,38.02,"58,678",195,"3,387",
,2,-,-,-,-,-,390,"1,576.50","1,662.50",715,"21,200.00","91,780",2.30,2.35,"1,93,895",-5.95,2.30,37.41,"3,04,037","8,870","30,096",
,5,-,-,-,-,-,390,"1,538.80","1,619.25",65,"21,250.00","98,735",2.30,2.35,"51,870",-6.80,2.35,36.82,"89,082","3,410","7,894",
,1,-,-,-,-,-,390,"1,475.75","1,585.35",715,"21,300.00","1,14,205",2.55,2.60,"2,20,545",-7.10,2.55,36.06,"2,43,838","21,153","44,784",
,-,-,-,-,-,-,"1,755","1,435.65","1,529.50","2,145","21,350.00","96,980",2.85,2.90,"88,530",-7.60,2.85,35.82,"80,699","3,776","8,101",
,8,-,3,69.94,"1,571.05",-357.55,780,"1,409.70","1,464.75",65,"21,400.00","80,665",3.05,3.10,"1,24,345",-8.55,3.10,35.37,"2,49,972","12,431","29,874",
,4,-,1,78.00,"1,570.00",69.10,"2,470","1,341.10","1,415.65","2,470","21,450.00","22,165",3.55,3.65,"28,860",-8.70,3.60,35.00,"1,46,096","5,242","11,013",
,"1,088",-123,644,-,"1,347.55",-464.25,520,"1,325.70","1,336.90",195,"21,500.00","67,665",3.95,4.00,"1,14,725",-9.30,4.00,34.62,"8,38,064","12,072","1,15,409",
,6,-,1,74.35,"1,470.00",74.20,715,"1,252.30","1,313.65",65,"21,550.00","28,210",4.65,4.70,"9,035",-10.10,4.70,34.32,"1,54,705","8,386","12,345",
,16,4,32,-,"1,253.00",-477.00,780,"1,213.05","1,261.20",65,"21,600.00","2,470",5.35,5.40,"32,305",-10.45,5.35,33.94,"4,06,305","2,660","22,950",
,7,-,-,-,-,-,715,"1,154.55","1,216.35",715,"21,650.00","10,530",6.30,6.40,"10,725",-10.85,6.40,33.72,"1,59,083","4,560","10,346",
,28,-14,22,-,"1,149.60",-468.30,715,"1,105.50","1,140.60",65,"21,700.00","36,790",7.30,7.40,"22,100",-11.50,7.40,33.52,"4,79,806","12,682","45,827",
,15,2,27,30.05,"1,089.90",-31.65,715,"1,064.95","1,093.95",195,"21,750.00","8,905",8.55,8.65,"6,695",-11.90,8.65,33.24,"2,42,177","6,208","14,783",
,100,-7,72,37.57,"1,040.00",-505.55,65,"1,032.05","1,040.90",65,"21,800.00","1,03,480",9.90,9.95,195,-11.85,9.95,32.84,"6,65,930","45,243","83,017",
,9,-,22,-,"1,017.55",-95.15,260,986.00,992.25,65,"21,850.00",390,11.85,11.90,"6,240",-11.70,11.90,32.66,"2,24,140","9,152","13,783",
,147,-34,198,31.70,940.00,-475.35,65,940.35,943.25,65,"21,900.00",390,14.05,14.10,"7,410",-12.25,14.05,32.49,"5,07,413","8,470","33,593",
,16,4,57,33.00,890.00,-494.05,520,891.00,904.45,715,"21,950.00",715,16.75,16.80,"2,535",-12.05,16.80,32.30,"2,72,261","8,855","15,838",
,"12,088","-3,148","16,702",-,847.90,-474.15,260,846.50,847.95,260,"22,000.00","2,990",19.75,19.85,"4,550",-11.15,19.75,32.09,"16,71,014","27,265","1,49,292",
,78,4,149,26.59,808.00,-491.75,325,800.55,804.15,65,"22,050.00","1,560",23.30,23.40,"2,015",-10.90,23.35,31.87,"3,77,393","7,816","17,045",
,401,24,357,14.96,753.15,-480.00,455,754.50,757.80,260,"22,100.00","1,560",27.50,27.60,"4,290",-9.45,27.55,31.65,"6,57,667","12,234","28,058",
,117,29,179,19.04,712.80,-474.05,65,703.05,713.30,65,"22,150.00",910,32.25,32.35,975,-8.15,32.35,31.44,"4,26,300","10,649","17,447",
,"1,439",190,"3,594",22.44,662.30,-482.20,65,665.10,667.35,130,"22,200.00",910,37.90,38.00,"3,640",-5.90,37.90,31.18,"8,28,687","17,580","42,583",
,295,55,301,19.45,634.15,-468.95,325,621.00,622.60,65,"22,250.00",650,44.35,44.50,"1,365",-2.85,44.45,30.93,"5,12,146","15,776","21,307",
,"2,495",-997,"5,478",23.12,581.60,-465.55,65,579.75,582.00,65,"22,300.00","1,105",51.70,51.80,65,0.20,51.70,30.68,"9,72,427","20,163","53,271",
,413,-40,470,23.57,550.00,-457.95,130,538.35,539.95,130,"22,350.00",195,60.40,60.55,195,5.10,60.50,30.52,"4,49,509","6,693","17,374",
,"2,555",318,"6,903",24.64,497.25,-464.50,455,497.60,498.75,65,"22,400.00",195,70.25,70.40,975,9.50,70.40,30.34,"9,52,112","15,181","51,474",
,"1,042",87,"2,550",24.41,459.65,-451.45,195,458.45,459.50,195,"22,450.00",585,81.40,81.60,"1,170",15.30,81.60,30.10,"5,64,041","9,678","21,671",
,"21,165",-941,"81,695",24.69,421.00,-448.75,520,421.00,421.80,325,"22,500.00","1,040",93.50,93.70,"1,235",21.35,93.45,29.90,"27,30,909","24,461","1,20,330",
,"2,179",363,"6,720",24.80,384.85,-443.95,65,384.75,385.55,65,"22,550.00",390,107.30,107.50,260,29.30,107.30,29.72,"7,85,713","13,534","20,747",
,"8,032",377,"38,507",24.70,349.80,-429.90,65,350.45,351.20,455,"22,600.00",845,122.90,123.15,195,38.20,123.00,29.55,"12,20,521","9,775","48,651",
,"2,957",853,"19,048",24.88,317.25,-424.85,130,317.80,318.35,325,"22,650.00",65,139.90,140.15,260,47.05,140.00,29.41,"6,09,039","8,992","17,647",
,"15,022","4,974","1,03,199",24.84,286.40,-416.35,260,286.55,287.05,325,"22,700.00",845,158.95,159.25,130,58.10,158.85,29.27,"13,17,184","16,345","51,008",
,"6,839","3,514","73,944",24.81,257.10,-406.85,65,257.35,257.75,130,"22,750.00",260,179.65,179.95,195,70.10,179.65,29.19,"8,76,145","12,334","23,987",
,"40,465","25,100","4,34,379",24.73,229.45,-392.70,390,229.20,229.60,390,"22,800.00",975,203.00,203.35,390,84.20,203.45,29.10,"22,81,597","43,861","89,334",
,"30,441","28,688","4,02,514",24.75,204.05,-375.30,"1,950",204.00,204.35,195,"22,850.00",390,227.05,227.45,130,97.80,227.35,29.02,"13,94,117","38,525","46,772",
,"72,647","58,738","13,52,911",24.71,180.65,-361.10,325,180.65,180.85,130,"22,900.00",65,252.85,253.25,65,111.25,252.70,29.00,"29,12,947","31,220","63,389",
,"44,845","42,399","12,28,794",24.65,159.05,-344.60,325,158.90,159.15,"1,300","22,950.00",195,280.50,281.05,130,126.65,280.45,28.94,"19,50,180","15,229","25,608",
,"1,63,582","1,16,884","31,06,806",24.58,139.15,-329.85,65,139.10,139.20,130,"23,000.00",975,310.30,310.85,390,143.90,310.75,28.91,"39,83,445","5,653","1,16,297",
,"45,968","40,668","12,52,884",24.59,121.30,-312.20,65,121.20,121.45,"1,040","23,050.00",65,342.40,343.00,65,161.15,342.55,29.02,"11,89,720","6,070","18,275",
,"76,714","64,004","18,59,608",24.55,105.20,-293.15,975,105.15,105.40,585,"23,100.00",65,377.00,377.55,325,180.40,377.30,29.20,"13,39,325",-105,"27,670",
,"35,139","29,295","8,10,898",24.58,91.00,-273.70,585,90.90,91.00,65,"23,150.00",65,412.80,413.60,130,200.55,414.30,29.32,"3,71,530","-7,581","7,639",
,"1,07,669","80,841","16,87,049",24.66,78.30,-256.70,"1,820",78.30,78.50,"1,560","23,200.00",130,450.20,450.75,65,218.25,450.00,29.76,"6,20,401","-16,129","34,548",
,"39,182","29,511","6,57,648",24.72,68.00,-237.10,65,67.80,67.95,"1,755","23,250.00",130,489.50,490.50,325,239.45,491.30,30.05,"1,47,404","-7,724","8,224",
,"80,644","40,229","15,31,108",24.89,58.75,-218.70,"1,170",58.70,58.85,"2,275","23,300.00",130,530.40,531.40,260,258.35,531.00,30.55,"2,73,549","-28,244","17,152",
,"32,298","16,721","5,72,161",25.04,50.90,-200.30,650,50.75,50.90,"1,560","23,350.00",65,572.40,574.15,65,279.45,573.90,31.00,"53,432","-6,472","5,709",
,"71,267","29,606","11,83,961",25.23,43.95,-180.75,"2,080",43.90,43.95,325,"23,400.00",65,615.25,616.80,780,297.20,616.80,31.84,"1,14,511","-16,128","15,172",
,"28,790","14,550","5,83,555",25.42,38.05,-162.55,"1,755",38.00,38.05,130,"23,450.00",65,659.35,660.95,65,313.75,659.25,32.42,"23,028","-4,338","4,851",
,"1,50,941","78,404","19,29,664",25.70,33.25,-145.10,"3,640",33.15,33.25,"1,105","23,500.00","1,040",703.25,704.65,65,331.15,704.85,32.62,"1,22,196","-13,246","23,663",
,"22,125","13,004","4,93,522",25.90,28.55,-128.80,780,28.50,28.60,"1,430","23,550.00",65,749.50,752.00,325,346.25,750.20,34.06,"8,490","-1,035","2,851",
,"58,575","31,468","8,78,099",26.19,24.50,-114.85,"1,885",24.50,24.60,"1,105","23,600.00",130,796.55,799.20,130,366.30,800.00,34.38,"20,438","-2,225","5,773",
,"18,361","10,431","4,71,554",26.47,21.55,-100.60,"2,860",21.50,21.60,"2,860","23,650.00",65,843.00,847.00,260,381.15,848.75,36.13,"2,558",-451,"1,808",
,"56,275","17,736","8,42,508",26.84,18.90,-87.55,975,18.90,18.95,"4,030","23,700.00",65,889.35,892.75,390,390.25,890.00,36.31,"8,456","-1,639","6,983",
,"18,426","7,484","3,51,459",27.16,16.40,-77.10,"1,885",16.35,16.45,"2,080","23,750.00",65,937.05,941.35,260,394.40,931.60,36.43,"1,448",-378,"1,747",
