CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,090",-815,"1,194",-,"3,934.65",-382.50,130,"3,925.00","3,929.15",65,"19,000.00","1,82,910",1.00,1.05,"1,73,680",-0.50,1.05,74.35,"1,79,011","-10,111","76,367",
,"1,512",-42,573,-,"2,930.00",-368.30,195,"2,914.35","2,927.65",130,"20,000.00","2,06,180",1.65,1.70,"4,82,235",-1.80,1.70,58.07,"3,37,950","1,562","2,33,345",
,2,-,-,-,-,-,780,"2,376.45","2,486.05",845,"20,500.00","98,150",1.85,1.90,"1,08,550",-2.60,1.85,49.05,"1,93,277","6,312","73,173",
,-,-,-,-,-,-,780,"2,330.35","2,484.75",780,"20,550.00","34,190",1.80,1.85,"37,505",-2.70,1.80,47.95,"25,407",642,"2,917",
,-,-,-,-,-,-,"1,690","2,124.90","2,440.75",780,"20,600.00","42,510",1.85,1.90,"69,485",-2.65,1.90,47.30,"37,118","-1,029","5,565",
,-,-,-,-,-,-,780,"2,167.70","2,393.85",780,"20,650.00","46,930",1.85,1.90,"48,815",-2.75,1.90,46.34,"21,831",222,"3,462",
,-,-,-,-,-,-,780,"2,092.85","2,337.40",780,"20,700.00","94,055",1.85,1.90,"74,100",-2.80,1.90,45.25,"46,447","1,511","8,437",
,-,-,-,-,-,-,780,"2,044.75","2,582.15",780,"20,750.00","44,265",1.90,1.95,"41,600",-3.15,1.90,44.44,"18,867",-,"1,941",
,-,-,-,-,-,-,780,"2,075.65","2,176.45",780,"20,800.00","1,18,820",1.90,1.95,"83,395",-3.25,1.95,43.62,"47,608",798,"8,808",
,6,-,6,74.57,"2,135.00",420.00,780,"2,030.60","2,123.20",780,"20,850.00","1,06,470",1.95,2.00,"1,05,820",-3.30,2.00,42.79,"24,489",257,"6,986",
,1,-,-,-,-,-,390,"1,974.75","2,119.85","1,690","20,900.00","1,32,990",1.95,2.00,"1,28,180",-3.80,1.95,41.84,"52,798","1,970","9,030",
,3,-,-,-,-,-,"1,690","1,817.35","2,026.90",780,"20,950.00","1,57,170",2.05,2.10,"1,39,035",-4.15,2.05,41.12,"45,450","3,479","10,944",
,"5,055",-286,"2,592",-,"1,926.55",-374.75,65,"1,922.40","1,927.15",130,"21,000.00","3,61,660",2.10,2.15,"3,65,300",-4.30,2.15,40.39,"4,51,829",-531,"1,22,868",
,2,-,-,-,-,-,780,"1,779.75","1,915.45",780,"21,050.00","93,275",2.10,2.15,"77,870",-4.60,2.15,39.43,"38,422",635,"3,790",
,2,-,-,-,-,-,780,"1,685.35","1,888.95",780,"21,100.00","2,02,735",2.20,2.25,"1,46,900",-5.05,2.25,38.68,"1,27,601",372,"12,277",
,2,-,-,-,-,-,780,"1,678.45","1,825.50",780,"21,150.00","86,970",2.30,2.35,"59,280",-5.55,2.35,37.91,"42,802",454,"3,646",
,2,-,-,-,-,-,780,"1,679.15","1,770.50",780,"21,200.00","2,47,715",2.40,2.45,"2,39,655",-5.85,2.40,37.32,"1,49,793","5,372","26,598",
,5,-,-,-,-,-,780,"1,631.00","1,724.70",780,"21,250.00","1,37,280",2.60,2.65,"1,41,895",-6.50,2.65,36.61,"65,388","4,493","8,977",
,1,-,-,-,-,-,780,"1,578.95","1,671.05",780,"21,300.00","3,04,135",2.75,2.80,"2,93,280",-6.85,2.80,36.03,"1,79,537","20,194","43,825",
,-,-,-,-,-,-,780,"1,526.10","1,630.80",780,"21,350.00","22,360",3.15,3.20,"20,215",-7.30,3.15,35.57,"56,845","4,274","8,599",
,8,-,3,54.04,"1,571.05",-357.55,845,"1,489.95","1,542.55",130,"21,400.00","30,810",3.40,3.45,"28,145",-8.25,3.40,34.97,"1,79,043","12,477","29,920",
,4,-,1,65.94,"1,570.00",69.10,780,"1,438.65","1,501.95",130,"21,450.00","9,620",4.00,4.05,"26,780",-8.30,4.00,34.70,"1,03,432","5,634","11,405",
,"1,098",-113,572,-,"1,430.00",-381.80,65,"1,425.90","1,432.75",65,"21,500.00","53,885",4.45,4.50,"79,950",-8.85,4.45,34.17,"6,23,046","18,981","1,22,318",
,6,-,1,62.69,"1,470.00",74.20,780,"1,340.30","1,386.90",650,"21,550.00","10,075",5.20,5.25,"11,700",-9.55,5.25,33.97,"1,12,308","8,676","12,635",
,15,3,21,40.02,"1,349.15",-380.85,780,"1,289.15","1,338.90",650,"21,600.00","8,775",5.90,5.95,"52,585",-9.90,5.90,33.53,"2,92,343","6,164","26,454",
,7,-,-,-,-,-,780,"1,241.75","1,325.70",780,"21,650.00","6,955",6.85,6.90,"13,715",-10.40,6.85,33.28,"1,06,273","3,772","9,558",
,28,-14,20,40.87,"1,257.25",-360.65,715,"1,218.60","1,258.45",65,"21,700.00",260,7.95,8.00,"39,390",-10.95,7.95,32.98,"3,49,315","13,728","46,873",
,16,3,25,36.06,"1,198.80",77.25,780,"1,157.95","1,190.85",65,"21,750.00","8,580",9.10,9.15,"7,150",-11.35,9.20,32.61,"1,71,343","6,416","14,991",
,100,-7,49,-,"1,125.20",-420.35,130,"1,131.75","1,146.20",260,"21,800.00","1,625",10.35,10.40,"12,350",-11.45,10.35,32.31,"4,52,226","49,330","87,104",
,6,-3,10,26.32,"1,086.95",-25.75,910,"1,051.45","1,092.30",520,"21,850.00","4,030",12.20,12.25,"2,080",-11.35,12.25,32.12,"1,63,017","6,862","11,493",
,132,-49,128,-,"1,040.00",-375.35,260,"1,037.15","1,040.95",260,"21,900.00","23,985",14.20,14.30,"6,695",-12.05,14.25,31.88,"3,68,243","12,687","37,810",
,7,-5,25,-,988.15,-395.90,260,988.60,"1,000.30",780,"21,950.00","1,170",16.70,16.75,325,-12.20,16.65,31.71,"1,84,978","11,438","18,421",
