CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,258",-647,"1,007",-,"3,950.00",-367.15,65,"3,927.45","3,940.55",65,"19,000.00","80,925",1.05,1.10,"1,21,550",-0.50,1.05,75.66,"1,66,790","-9,785","76,693",
,"1,518",-36,494,-,"2,934.00",-364.30,65,"2,927.05","2,938.80",65,"20,000.00","2,41,800",1.65,1.70,"2,20,610",-1.80,1.70,59.16,"2,94,516","5,133","2,36,916",
,2,-,-,-,-,-,845,"2,400.40","2,477.80",845,"20,500.00","1,17,520",1.90,1.95,"92,755",-2.50,1.95,50.09,"1,82,950","7,565","74,426",
,-,-,-,-,-,-,780,"2,328.60","2,466.20",780,"20,550.00","34,190",1.90,1.95,"26,260",-2.50,2.00,49.13,"24,384",713,"2,988",
,-,-,-,-,-,-,"1,690","2,110.65","2,547.70",780,"20,600.00","75,660",1.95,2.00,"52,195",-2.60,1.95,48.18,"35,481","-1,107","5,487",
,-,-,-,-,-,-,780,"2,167.95","2,372.85",780,"20,650.00","59,280",2.00,2.05,"63,765",-2.65,2.00,47.22,"21,036",223,"3,463",
,-,-,-,-,-,-,780,"2,086.95","2,311.65",780,"20,700.00","91,455",1.95,2.00,"89,700",-2.75,1.95,46.27,"44,871","1,515","8,441",
,-,-,-,-,-,-,780,"2,039.40","2,279.05",780,"20,750.00","12,805",2.00,2.05,"49,465",-3.05,2.00,45.31,"17,585",179,"2,120",
,-,-,-,-,-,-,780,"1,752.25","2,181.60",780,"20,800.00","1,07,380",2.00,2.05,"1,13,555",-3.20,2.00,44.63,"43,589","1,955","9,965",
,6,-,-,-,-,-,780,"1,938.30","2,175.55",780,"20,850.00","82,810",2.10,2.15,"1,01,075",-3.15,2.15,43.67,"23,061",77,"6,806",
,1,-,-,-,-,-,780,"1,989.80","2,103.60",780,"20,900.00","1,47,745",2.10,2.15,"1,41,245",-3.65,2.10,42.84,"49,673","2,184","9,244",
,3,-,-,-,-,-,390,"1,930.30","2,063.20",780,"20,950.00","1,47,030",2.20,2.25,"1,22,850",-3.95,2.25,42.00,"43,474","3,412","10,877",
,"5,410",69,"2,142",-,"1,926.90",-374.40,130,"1,927.45","1,937.65",260,"21,000.00","3,46,775",2.25,2.30,"3,19,410",-4.20,2.25,41.27,"4,16,489","4,052","1,27,451",
,2,-,-,-,-,-,780,"1,779.15","1,938.15",780,"21,050.00","43,290",2.30,2.35,"95,355",-4.40,2.35,40.30,"35,736",526,"3,681",
,2,-,-,-,-,-,780,"1,734.25","1,909.70",780,"21,100.00","1,68,545",2.45,2.50,"1,90,515",-4.80,2.50,39.55,"1,19,333","1,611","13,516",
,2,-,-,-,-,-,780,"1,739.15","1,837.10",780,"21,150.00","69,290",2.60,2.65,"95,030",-5.30,2.60,38.89,"39,784",606,"3,798",
,2,-,-,-,-,-,780,"1,690.30","1,780.60",780,"21,200.00","1,84,340",2.75,2.80,"2,58,050",-5.50,2.75,38.10,"1,37,314","6,041","27,267",
,5,-,-,-,-,-,780,"1,570.65","1,731.25",780,"21,250.00","1,20,185",2.95,3.00,"96,135",-6.15,3.00,37.48,"55,013","4,221","8,705",
,1,-,-,-,-,-,780,"1,593.30","1,697.55",780,"21,300.00","57,330",3.10,3.15,"21,255",-6.50,3.15,36.83,"1,65,200","20,935","44,566",
,-,-,-,-,-,-,780,"1,388.85","1,649.40",780,"21,350.00","6,175",3.60,3.65,"39,130",-6.80,3.65,36.45,"53,311","4,414","8,739",
,8,-,3,-,"1,571.05",-357.55,130,"1,526.75","1,578.75",780,"21,400.00","45,565",3.90,3.95,"11,765",-7.70,3.95,35.86,"1,68,311","12,134","29,577",
,4,-,1,55.54,"1,570.00",69.10,780,"1,463.75","1,516.95",260,"21,450.00","25,090",4.50,4.55,"17,810",-7.75,4.55,35.54,"91,366","6,765","12,536",
,"1,185",-26,436,-,"1,436.90",-374.90,195,"1,430.95","1,439.00",390,"21,500.00","53,170",5.00,5.05,"59,930",-8.25,5.05,34.96,"5,69,288","21,135","1,24,472",
,6,-,1,52.66,"1,470.00",74.20,715,"1,369.25","1,401.90",65,"21,550.00","24,245",5.75,5.85,"13,065",-9.00,5.80,34.74,"1,01,585","7,360","11,319",
,16,4,19,28.72,"1,377.70",-352.30,845,"1,315.20","1,352.05",780,"21,600.00","8,060",6.60,6.65,"29,315",-9.15,6.65,34.32,"2,70,516","7,186","27,476",
