CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,898,"-1,007","1,542",-,"3,833.90",-483.25,195,"3,825.40","3,835.60",65,"19,000.00","1,45,080",1.00,1.05,"3,70,045",-0.55,1.00,73.92,"2,36,509","-11,818","74,660",
,"1,497",-57,873,-,"2,826.25",-472.05,65,"2,826.75","2,832.60",65,"20,000.00","1,54,375",1.80,1.85,"2,32,180",-1.70,1.80,58.16,"4,54,687","-4,288","2,27,495",
,2,-,-,-,-,-,780,"2,285.70","2,367.70",780,"20,500.00","1,00,035",2.10,2.15,"1,10,760",-2.35,2.10,49.02,"2,53,184","4,587","71,448",
,-,-,-,-,-,-,780,"2,225.55","2,399.80",780,"20,550.00","26,910",2.05,2.10,"16,770",-2.45,2.05,48.05,"29,463",436,"2,711",
,-,-,-,-,-,-,780,"2,180.30","2,341.25",780,"20,600.00","54,275",2.10,2.15,"53,690",-2.45,2.10,47.20,"47,205","-1,295","5,299",
,-,-,-,-,-,-,780,"2,125.85","2,297.75",780,"20,650.00","46,020",2.10,2.15,"43,355",-2.50,2.15,46.10,"25,168",-20,"3,220",
,-,-,-,-,-,-,780,"1,976.85","2,165.10",780,"20,700.00","49,920",2.10,2.15,"66,950",-2.60,2.10,45.25,"63,988",547,"7,473",
,-,-,-,-,-,-,780,"2,033.45","2,165.65",780,"20,750.00","24,765",2.10,2.15,"12,675",-2.95,2.10,44.39,"24,726",167,"2,108",
,-,-,-,-,-,-,780,"1,925.65","2,128.30",780,"20,800.00","90,090",2.20,2.25,"67,535",-3.00,2.20,43.64,"86,750","3,734","11,744",
,6,-,6,91.61,"2,135.00",420.00,390,"1,921.00","2,020.65",780,"20,850.00","69,680",2.20,2.25,"85,930",-3.10,2.20,42.66,"33,464",-252,"6,477",
,1,-,-,-,-,-,780,"1,885.25","1,971.40",780,"20,900.00","1,11,020",2.10,2.15,"87,295",-3.65,2.10,41.68,"80,296","1,931","8,991",
,3,-,-,-,-,-,780,"1,825.15","1,917.60",780,"20,950.00","1,08,225",2.20,2.25,"77,740",-3.95,2.25,40.91,"59,034","3,564","11,029",
,"5,315",-26,"4,367",-,"1,825.40",-475.90,65,"1,825.00","1,832.05",325,"21,000.00","2,03,125",2.25,2.30,"51,220",-4.20,2.25,40.03,"6,57,556","-14,618","1,08,782",
,2,-,-,-,-,-,780,"1,733.50","1,818.70",780,"21,050.00","93,015",2.15,2.20,"53,495",-4.55,2.20,39.23,"66,204","2,318","5,473",
,2,-,-,-,-,-,780,"1,626.50","1,796.55",780,"21,100.00","55,770",2.25,2.30,"1,57,755",-5.05,2.25,38.69,"1,82,487","-1,223","10,682",
,2,-,-,-,-,-,780,"1,630.75","1,723.45",780,"21,150.00","56,355",2.30,2.35,"39,130",-5.60,2.30,38.02,"61,210",219,"3,411",
,2,-,-,-,-,-,780,"1,584.95","1,659.10",780,"21,200.00","1,69,975",2.40,2.45,"1,89,735",-5.85,2.40,37.41,"3,26,106","5,231","26,457",
,5,-,-,-,-,-,780,"1,530.30","1,615.35",780,"21,250.00","1,05,235",2.50,2.55,"88,790",-6.60,2.55,36.82,"95,213","3,776","8,260",
,1,-,-,-,-,-,780,"1,484.60","1,577.60",780,"21,300.00","93,340",2.65,2.70,"2,12,680",-7.00,2.65,36.06,"2,56,339","20,991","44,622",
,-,-,-,-,-,-,"2,535","1,437.05","1,528.75","2,535","21,350.00","30,160",3.05,3.10,"42,640",-7.40,3.05,35.82,"88,366","4,113","8,438",
,8,-,3,69.94,"1,571.05",-357.55,780,"1,399.20","1,450.80",130,"21,400.00","1,33,835",3.20,3.25,"68,770",-8.45,3.20,35.37,"2,63,260","12,348","29,791",
,4,-,1,78.00,"1,570.00",69.10,715,"1,348.30","1,400.85",130,"21,450.00","22,555",3.85,3.90,"13,975",-8.40,3.90,35.00,"1,48,859","5,338","11,109",
,"1,106",-105,671,-,"1,340.00",-471.80,65,"1,328.00","1,334.85",195,"21,500.00","1,18,040",4.30,4.35,"63,570",-8.95,4.35,34.62,"8,74,729","10,055","1,13,392",
,6,-,1,74.35,"1,470.00",74.20,715,"1,254.95","1,302.00",130,"21,550.00","19,760",5.10,5.15,"20,605",-9.70,5.10,34.32,"1,65,468","7,535","11,494",
,16,4,32,-,"1,253.00",-477.00,65,"1,217.75","1,251.60",390,"21,600.00","15,145",5.70,5.75,"13,260",-10.10,5.70,33.94,"4,30,301",694,"20,984",
