CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,270",-635,995,-,"3,954.95",-362.20,65,"3,952.55","3,966.85",195,"19,000.00","1,00,945",1.15,1.20,"1,47,615",-0.35,1.20,76.17,"1,63,379","-9,653","76,825",
,"1,534",-20,466,-,"2,951.00",-347.30,65,"2,949.35","2,965.85",65,"20,000.00","4,68,780",1.70,1.75,"1,51,775",-1.75,1.75,59.25,"2,83,058","4,850","2,36,633",
,2,-,-,-,-,-,780,"2,399.85","2,502.45",780,"20,500.00","1,15,375",1.95,2.00,"1,15,635",-2.45,2.00,49.84,"1,80,766","7,743","74,604",
,-,-,-,-,-,-,780,"2,356.25","2,465.35",780,"20,550.00","44,200",1.90,1.95,"25,545",-2.60,1.90,48.89,"24,311",769,"3,044",
,-,-,-,-,-,-,"1,690","2,102.35","2,577.15",780,"20,600.00","80,925",1.95,2.00,"66,950",-2.60,1.95,48.08,"35,170","-1,103","5,491",
,-,-,-,-,-,-,780,"2,167.95","2,354.60",780,"20,650.00","52,520",1.95,2.00,"26,715",-2.65,2.00,47.13,"20,885",324,"3,564",
,-,-,-,-,-,-,780,"2,086.00","2,312.55",780,"20,700.00","1,05,755",1.95,2.00,"34,385",-2.75,1.95,46.17,"44,170","1,613","8,539",
,-,-,-,-,-,-,780,"2,148.80","2,262.00",780,"20,750.00","40,040",1.95,2.00,"27,755",-3.05,2.00,45.35,"16,967",190,"2,131",
,-,-,-,-,-,-,780,"2,106.95","2,213.00",780,"20,800.00","81,705",2.00,2.05,"81,835",-3.15,2.05,44.40,"42,361","2,085","10,095",
,6,-,-,-,-,-,780,"2,050.70","2,164.95",780,"20,850.00","63,830",2.10,2.15,"95,810",-3.20,2.10,43.57,"22,689",91,"6,820",
,1,-,-,-,-,-,780,"2,000.20","2,116.00",780,"20,900.00","1,48,915",2.10,2.15,"1,40,140",-3.65,2.10,42.61,"49,073","2,262","9,322",
,3,-,-,-,-,-,"1,690","1,819.90","2,067.30",780,"20,950.00","1,25,515",2.20,2.25,"1,27,335",-3.95,2.25,41.78,"42,121","3,504","10,969",
,"5,390",49,"2,116",-,"1,950.75",-350.55,65,"1,953.15","1,959.50",65,"21,000.00","3,63,350",2.25,2.30,"1,81,610",-4.15,2.30,40.94,"4,07,725","4,066","1,27,466",
,2,-,-,-,-,-,780,"1,851.45","1,965.95",780,"21,050.00","88,140",2.25,2.30,"64,545",-4.45,2.30,40.09,"34,720",750,"3,905",
,2,-,-,-,-,-,780,"1,737.80","1,923.75",780,"21,100.00","63,635",2.40,2.45,"1,71,340",-4.90,2.40,39.45,"1,16,930","1,372","13,277",
,2,-,-,-,-,-,780,"1,751.85","1,862.30",780,"21,150.00","1,02,375",2.50,2.60,"84,695",-5.35,2.55,38.68,"38,368",482,"3,674",
,2,-,-,-,-,-,780,"1,702.20","1,811.25",780,"21,200.00","1,49,955",2.65,2.70,"2,11,185",-5.60,2.65,38.00,"1,32,140","6,318","27,544",
,5,-,-,-,-,-,715,"1,656.85","1,760.25",780,"21,250.00","52,715",2.85,2.90,"1,15,440",-6.30,2.85,37.47,"51,869","3,997","8,481",
,1,-,-,-,-,-,780,"1,602.10","1,716.70",780,"21,300.00","1,40,790",3.00,3.05,"1,07,510",-6.60,3.05,36.73,"1,60,788","20,701","44,332",
,-,-,-,-,-,-,780,"1,553.45","1,667.05",780,"21,350.00","26,000",3.40,3.50,"38,675",-7.00,3.45,36.34,"52,666","4,339","8,664",
,8,-,3,30.19,"1,571.05",-357.55,130,"1,546.80","1,611.65",780,"21,400.00","41,340",3.70,3.75,"32,565",-7.90,3.75,35.82,"1,64,838","12,305","29,748",
,4,-,1,57.15,"1,570.00",69.10,715,"1,457.00","1,552.45",780,"21,450.00","16,770",4.25,4.30,"30,225",-8.00,4.30,35.49,"86,965","6,734","12,505",
,"1,187",-24,433,-,"1,452.75",-359.05,65,"1,455.55","1,464.45",195,"21,500.00","1,36,045",4.60,4.70,"1,43,065",-8.60,4.70,35.02,"5,52,438","19,909","1,23,246",
,6,-,1,54.20,"1,470.00",74.20,780,"1,374.50","1,441.00",65,"21,550.00","12,610",5.45,5.50,"15,925",-9.35,5.45,34.73,"99,330","7,972","11,931",
,16,4,19,35.30,"1,377.70",-352.30,845,"1,329.80","1,385.45",845,"21,600.00","29,185",6.15,6.20,"5,980",-9.65,6.15,34.43,"2,61,389","6,557","26,847",
,7,-,-,-,-,-,780,"1,285.10","1,340.10",780,"21,650.00","4,160",7.15,7.20,"13,455",-10.10,7.15,34.14,"93,204","4,017","9,803",
,28,-14,20,-,"1,257.25",-360.65,130,"1,255.30","1,281.65",780,"21,700.00","27,950",8.20,8.25,"5,915",-10.65,8.25,33.82,"3,03,539","14,470","47,615",
,16,3,25,-,"1,198.80",77.25,65,"1,196.25","1,250.50","2,535","21,750.00","6,890",9.40,9.45,"7,410",-11.15,9.40,33.53,"1,43,486","6,242","14,817",
,100,-7,36,-,"1,162.85",-382.70,65,"1,163.85","1,185.10",65,"21,800.00","19,760",10.50,10.60,"27,950",-11.25,10.55,33.24,"3,86,970","47,545","85,319",
,9,-,9,-,"1,097.80",-14.90,65,"1,110.70","1,129.60",260,"21,850.00","6,435",12.40,12.50,"5,720",-11.15,12.45,32.99,"1,41,495","7,130","11,761",
,132,-49,111,29.19,"1,064.10",-351.25,65,"1,063.30","1,072.60",130,"21,900.00","17,485",14.45,14.50,"1,755",-11.80,14.50,32.82,"3,13,043","9,918","35,041",
,5,-7,18,-,"1,023.65",-360.40,260,"1,020.40","1,025.70",260,"21,950.00","5,980",17.00,17.10,"2,860",-11.80,17.05,32.65,"1,54,185","12,301","19,284",
,"13,129","-2,106","9,827",28.05,977.25,-344.80,260,973.90,976.75,260,"22,000.00","8,190",19.65,19.70,"1,690",-11.25,19.65,32.44,"9,82,331","37,851","1,59,877",
,72,-2,67,20.22,945.00,-354.75,585,922.55,931.15,65,"22,050.00","1,235",22.80,22.90,910,-11.35,22.90,32.19,"1,91,646","11,285","20,514",
,395,18,100,24.14,886.00,-347.15,65,879.50,883.10,65,"22,100.00",715,26.20,26.30,"2,470",-10.70,26.30,31.97,"4,07,579","16,652","32,476",
,106,18,77,29.47,839.75,-347.10,260,832.70,838.35,260,"22,150.00","1,820",30.35,30.45,"2,080",-10.15,30.35,31.72,"2,42,857","11,899","18,697",
,"1,332",83,"1,687",30.47,795.30,-349.20,195,788.90,791.90,65,"22,200.00","2,925",34.85,34.90,"1,105",-8.95,34.85,31.43,"4,88,193","19,165","44,168",
,233,-7,81,28.97,741.65,-361.45,260,743.10,746.95,260,"22,250.00",65,40.00,40.05,780,-7.25,40.05,31.22,"3,04,385","16,588","22,119",
,"2,453","-1,039","3,834",28.83,707.25,-339.90,390,700.70,702.85,65,"22,300.00","2,990",45.80,45.90,260,-5.70,45.80,30.93,"5,57,332","23,377","56,485",
,401,-52,200,27.69,662.95,-345.00,65,655.45,659.55,260,"22,350.00",130,52.40,52.55,"1,040",-2.90,52.50,30.70,"2,43,157","8,399","19,080",
,"2,488",251,"3,116",28.77,619.75,-342.00,325,614.30,615.70,195,"22,400.00","1,235",59.95,60.10,650,-0.85,60.05,30.46,"5,40,347","16,280","52,573",
,946,-9,"1,155",28.59,578.90,-332.20,195,573.05,574.50,195,"22,450.00",390,68.30,68.50,"1,625",2.15,68.45,30.28,"3,25,687","10,157","22,150",
,"21,898",-208,"46,140",28.36,533.45,-336.30,65,532.00,533.40,260,"22,500.00","2,145",77.80,77.90,65,5.75,77.85,30.01,"16,65,108","47,506","1,43,375",
,"1,959",143,"2,658",28.08,494.90,-333.90,260,492.05,493.65,65,"22,550.00","1,300",88.25,88.50,"2,795",10.40,88.40,29.81,"4,67,637","16,433","23,646",
,"7,584",-71,"17,381",28.09,455.45,-324.25,130,455.05,455.95,65,"22,600.00",390,99.80,100.00,"1,690",15.20,100.00,29.61,"7,26,538","17,137","56,013",
,"2,235",131,"7,166",27.88,421.25,-320.85,65,417.35,418.25,260,"22,650.00",325,113.20,113.40,455,20.15,113.10,29.46,"3,60,800","10,432","19,087",
,"11,273","1,225","42,404",27.76,383.25,-319.50,65,382.70,383.45,455,"22,700.00",195,127.40,127.60,325,26.80,127.55,29.23,"7,48,403","20,376","55,039",
,"4,188",863,"24,182",27.63,348.90,-315.05,65,348.20,349.00,260,"22,750.00",910,143.75,144.05,715,34.15,143.70,29.00,"4,84,064","13,574","25,227",
,"23,744","8,379","1,63,950",27.52,316.80,-305.35,65,316.80,317.00,910,"22,800.00",715,160.95,161.25,780,41.75,161.00,28.84,"12,84,808","32,428","77,901",
,"7,769","6,016","98,084",27.39,285.85,-293.50,65,285.75,285.95,325,"22,850.00",195,180.70,181.00,390,50.85,180.40,28.69,"6,73,238","21,833","30,080",
,"48,809","34,900","5,30,096",27.20,257.40,-284.35,325,257.00,257.40,"1,300","22,900.00",455,201.45,201.75,780,60.00,201.45,28.48,"15,79,161","58,917","91,086",
,"45,270","42,824","6,25,350",27.12,230.10,-273.55,585,229.80,230.20,520,"22,950.00",585,223.70,224.10,"1,235",70.35,224.15,28.35,"12,62,299","43,121","53,500",
,"1,82,343","1,35,645","19,48,526",27.00,204.35,-264.65,325,204.20,204.55,520,"23,000.00","1,300",248.70,249.20,195,82.15,249.00,28.24,"29,17,772","50,000","1,60,644",
,"60,345","55,045","8,99,971",26.87,181.45,-252.05,65,181.05,181.30,260,"23,050.00",455,274.85,275.25,130,93.85,275.25,28.18,"10,04,196","16,742","28,947",
,"92,632","79,922","12,72,977",26.79,159.65,-238.70,65,159.00,159.30,"2,080","23,100.00",455,304.15,304.65,260,107.10,304.00,28.04,"10,78,237","16,319","44,094",
,"38,110","32,266","5,40,235",26.65,139.95,-224.75,195,139.80,140.00,455,"23,150.00",130,333.30,333.85,130,120.15,333.90,27.97,"3,09,161","-2,332","12,888",
,"1,02,527","75,699","11,00,236",26.62,121.90,-213.10,65,121.75,121.90,"1,950","23,200.00",910,366.45,367.20,650,134.95,366.70,27.99,"4,90,439","-3,677","47,000",
,"40,315","30,644","4,20,049",26.48,106.20,-198.90,975,105.75,106.00,"1,430","23,250.00",585,399.50,400.00,520,148.05,399.90,28.09,"1,25,348","-5,072","10,876",
,"97,109","56,694","10,17,208",26.55,92.05,-185.40,"1,235",91.90,92.05,650,"23,300.00",65,435.00,435.75,130,163.00,435.65,28.08,"2,21,360","-22,061","23,335",
,"33,889","18,312","3,66,281",26.52,79.25,-171.95,"1,105",79.15,79.35,"1,170","23,350.00",130,474.00,475.10,65,178.15,472.60,27.93,"42,665","-5,798","6,383",
,"78,647","36,986","7,56,582",26.57,68.45,-156.25,260,68.30,68.40,390,"23,400.00",65,511.45,512.65,585,191.80,511.40,28.45,"91,983","-11,816","19,484",
,"33,034","18,794","3,49,696",26.58,58.45,-142.15,780,58.40,58.55,"1,950","23,450.00",195,552.65,554.00,130,206.35,551.85,28.10,"18,984","-4,065","5,124",
,"1,56,750","84,213","12,25,352",26.65,50.10,-128.25,"5,135",50.10,50.20,"1,690","23,500.00",130,593.35,594.45,260,219.80,593.50,28.95,"90,200","-9,556","27,353",
,"28,297","19,176","3,15,263",26.68,42.75,-114.60,"3,055",42.70,42.85,"1,495","23,550.00",130,636.80,638.75,130,232.75,636.70,28.44,"6,745",-870,"3,016",
,"61,696","34,589","5,83,896",26.80,36.50,-102.85,130,36.45,36.50,"1,040","23,600.00",260,681.05,682.85,195,248.45,682.15,29.34,"13,205","-1,757","6,241",
,"20,074","12,144","3,15,455",26.87,31.25,-90.90,455,31.15,31.20,"1,885","23,650.00",65,725.10,728.00,260,254.05,721.65,28.35,"2,102",-393,"1,866",
,"56,423","17,884","5,71,630",27.01,26.60,-79.85,"5,135",26.50,26.60,"2,600","23,700.00",65,770.20,772.15,65,272.00,771.75,29.71,"5,941","-1,237","7,385",
,"19,776","8,834","2,41,257",27.19,22.75,-70.75,"1,040",22.65,22.75,"2,730","23,750.00",130,815.85,818.75,260,274.95,812.15,28.96,"1,119",-259,"1,866",
,"70,757","26,379","5,11,747",27.39,19.35,-61.35,"4,810",19.35,19.40,"1,560","23,800.00",260,862.00,864.85,390,284.35,860.85,30.22,"6,391",-827,"10,851",
,"22,431","12,143","1,90,266",27.60,16.55,-53.55,130,16.60,16.65,"2,860","23,850.00",65,909.20,912.15,65,292.05,905.50,30.39,484,-28,"2,543",
