CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,897,"-1,008","1,543",-,"3,824.05",-493.10,65,"3,816.80","3,827.05",65,"19,000.00","1,84,405",0.95,1.00,"1,26,100",-0.55,1.00,73.08,"2,38,289","-12,975","73,503",
,"1,531",-23,885,-,"2,825.00",-473.30,65,"2,820.00","2,822.00",65,"20,000.00","93,405",1.85,1.90,"1,56,845",-1.60,1.90,57.44,"4,57,652","-4,540","2,27,243",
,2,-,-,-,-,-,780,"2,289.05","2,365.00",845,"20,500.00","86,060",2.15,2.20,"65,845",-2.25,2.20,48.47,"2,53,500","5,355","72,216",
,-,-,-,-,-,-,780,"2,225.55","2,399.00",780,"20,550.00","23,205",2.15,2.20,"13,845",-2.35,2.15,47.37,"29,565",313,"2,588",
,-,-,-,-,-,-,780,"2,180.30","2,339.55",780,"20,600.00","44,265",2.20,2.25,"45,630",-2.35,2.20,46.55,"47,454","-1,244","5,350",
,-,-,-,-,-,-,780,"2,125.85","2,296.55",780,"20,650.00","17,875",2.20,2.25,"20,475",-2.45,2.20,45.59,"25,252",-48,"3,192",
,-,-,-,-,-,-,780,"1,976.85","2,165.10",780,"20,700.00","63,635",2.15,2.20,"42,185",-2.55,2.15,44.49,"64,350",-61,"6,865",
,-,-,-,-,-,-,780,"2,033.45","2,164.85",780,"20,750.00","29,445",2.15,2.25,"15,795",-2.85,2.20,43.67,"25,101",61,"2,002",
,-,-,-,-,-,-,780,"1,925.65","2,127.10",780,"20,800.00","95,485",2.25,2.30,"29,315",-2.90,2.30,42.96,"87,181","3,535","11,545",
,6,-,6,89.96,"2,135.00",420.00,390,"1,921.00","2,017.35",780,"20,850.00","1,00,880",2.25,2.30,"34,385",-3.00,2.30,42.00,"33,786",-575,"6,154",
,1,-,-,-,-,-,780,"1,888.25","1,968.50",780,"20,900.00","1,17,910",2.20,2.25,"64,610",-3.50,2.25,40.91,"80,904","1,946","9,006",
,3,-,-,-,-,-,780,"1,826.55","1,917.10",780,"20,950.00","1,16,155",2.30,2.35,"73,515",-3.90,2.30,40.07,"59,609","3,464","10,929",
,"5,313",-28,"4,393",-,"1,816.05",-485.25,65,"1,816.95","1,824.40",390,"21,000.00","2,07,415",2.35,2.40,"1,92,790",-4.05,2.40,39.10,"6,64,431","-13,573","1,09,827",
,2,-,-,-,-,-,780,"1,734.60","1,818.20",780,"21,050.00","98,475",2.20,2.30,"57,980",-4.45,2.30,38.25,"66,675","2,289","5,444",
,2,-,-,-,-,-,780,"1,626.50","1,796.05",780,"21,100.00","1,56,780",2.30,2.35,"1,00,685",-4.95,2.35,37.71,"1,84,344","-1,272","10,633",
,2,-,-,-,-,-,780,"1,630.75","1,723.05",780,"21,150.00","88,725",2.35,2.40,"27,430",-5.50,2.40,36.93,"61,701",8,"3,200",
,2,-,-,-,-,-,780,"1,586.85","1,657.30",780,"21,200.00","2,13,265",2.45,2.50,"1,55,870",-5.75,2.50,36.23,"3,27,005","5,279","26,505",
,5,-,-,-,-,-,780,"1,531.40","1,613.05",780,"21,250.00","1,35,395",2.55,2.60,"23,855",-6.55,2.60,35.59,"96,909","3,683","8,167",
,1,-,-,-,-,-,780,"1,487.40","1,575.10",780,"21,300.00","75,335",2.75,2.80,"1,58,080",-6.90,2.75,34.84,"2,58,133","21,635","45,266",
,-,-,-,-,-,-,"2,535","1,437.15","1,528.70","2,535","21,350.00","25,935",3.15,3.20,"37,830",-7.30,3.15,34.57,"89,263","3,781","8,106",
,8,-,3,68.46,"1,571.05",-357.55,780,"1,399.20","1,447.80",780,"21,400.00","69,615",3.30,3.35,"46,995",-8.30,3.35,34.02,"2,64,648","11,772","29,215",
,4,-,1,76.77,"1,570.00",69.10,715,"1,348.30","1,399.70",780,"21,450.00","12,155",4.00,4.05,"33,540",-8.30,4.00,33.76,"1,49,310","4,991","10,762",
,"1,108",-103,674,-,"1,324.20",-487.60,390,"1,316.55","1,323.80",65,"21,500.00","67,600",4.45,4.50,"89,570",-8.85,4.45,33.19,"8,79,498","9,323","1,12,660",
