CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,543",-362,634,-,"3,970.00",-347.15,780,"3,932.00","3,959.05",65,"19,000.00","39,650",1.20,1.25,"3,27,535",-0.30,1.25,75.44,"1,37,757","-7,196","79,282",
,"1,519",-35,320,-,"2,950.00",-348.30,260,"2,943.90","2,954.70",65,"20,000.00","2,02,280",1.90,1.95,"2,47,000",-1.60,1.90,59.63,"2,23,590",20,"2,31,802",
,2,-,-,-,-,-,780,"2,406.00","2,510.30",845,"20,500.00","1,08,680",2.00,2.05,"1,05,885",-2.40,2.05,50.56,"1,54,821","8,057","74,918",
,-,-,-,-,-,-,780,"2,344.20","2,494.00",780,"20,550.00","28,405",2.00,2.05,"49,270",-2.50,2.00,49.73,"21,341",733,"3,008",
,-,-,-,-,-,-,"1,690","2,049.35","2,738.25",780,"20,600.00","78,325",2.05,2.10,"56,615",-2.50,2.05,48.89,"32,583","-1,125","5,469",
,-,-,-,-,-,-,780,"2,167.80","2,377.55",780,"20,650.00","26,325",2.10,2.15,"36,855",-2.55,2.10,48.17,"18,861",393,"3,633",
,-,-,-,-,-,-,780,"2,026.60","2,347.00",780,"20,700.00","79,560",2.10,2.15,"79,690",-2.60,2.10,47.07,"38,198",684,"7,610",
,-,-,-,-,-,-,780,"1,943.35","2,302.35",780,"20,750.00","34,190",2.15,2.20,"40,300",-2.90,2.15,46.10,"13,901",606,"2,547",
,-,-,-,-,-,-,780,"2,093.10","2,219.95",780,"20,800.00","58,175",2.20,2.25,"1,05,105",-3.00,2.20,45.24,"36,210","2,715","10,725",
,6,-,-,-,-,-,780,"1,989.25","2,127.30",780,"20,850.00","79,820",2.35,2.40,"98,930",-2.90,2.40,44.71,"19,687",154,"6,883",
,1,-,-,-,-,-,780,"2,005.35","2,112.20",780,"20,900.00","1,19,860",2.45,2.50,"1,23,500",-3.30,2.45,44.04,"38,514","1,835","8,895",
,3,-,-,-,-,-,715,"1,830.25","2,028.55",780,"20,950.00","1,58,860",2.55,2.60,"1,12,255",-3.65,2.55,43.35,"33,929","3,556","11,021",
,"5,206",-135,"1,117",-,"1,948.30",-353.00,260,"1,947.05","1,952.65",65,"21,000.00","2,29,190",2.65,2.70,"2,71,180",-3.80,2.65,42.64,"3,25,406","8,522","1,31,921",
,2,-,-,-,-,-,780,"1,872.05","1,943.35",780,"21,050.00","85,930",2.75,2.80,"85,280",-4.00,2.75,41.82,"27,838","1,110","4,265",
,2,-,-,-,-,-,780,"1,727.00","1,909.15",780,"21,100.00","1,76,930",2.90,2.95,"1,89,930",-4.40,2.90,41.07,"1,01,596","4,024","15,929",
,2,-,-,-,-,-,780,"1,767.80","1,831.10",780,"21,150.00","11,895",3.10,3.20,"23,595",-4.70,3.20,40.54,"32,050","1,294","4,486",
,2,-,-,-,-,-,780,"1,717.20","1,778.35",780,"21,200.00","57,850",3.25,3.30,"22,100",-4.95,3.30,39.67,"1,15,169","7,271","28,497",
,5,-,-,-,-,-,65,"1,668.95","1,726.40",65,"21,250.00","4,290",3.50,3.55,"23,075",-5.65,3.50,39.28,"40,702","3,132","7,616",
,1,-,-,-,-,-,780,"1,616.40","1,706.60",780,"21,300.00","60,775",3.70,3.75,"14,885",-5.90,3.75,38.57,"1,32,097","19,451","43,082",
,-,-,-,-,-,-,780,"1,501.85","1,655.65",780,"21,350.00","10,985",4.20,4.25,"21,645",-6.20,4.25,38.30,"43,712","3,846","8,171",
,8,-,1,43.75,"1,575.00",-353.60,65,"1,535.45","1,571.20",65,"21,400.00","33,020",4.60,4.65,"43,810",-7.05,4.60,37.67,"1,42,139","12,764","30,207",
,4,-,1,59.34,"1,570.00",69.10,"1,755","1,365.50","1,516.85",130,"21,450.00","16,640",5.20,5.25,"10,530",-7.05,5.25,37.39,"63,358","5,920","11,691",
,"1,163",-48,361,-,"1,452.60",-359.20,260,"1,451.20","1,456.75",130,"21,500.00","47,060",5.70,5.75,"20,865",-7.60,5.70,36.84,"4,42,076","20,677","1,24,014",
,6,-,1,56.32,"1,470.00",74.20,"2,535","1,362.55","1,415.50",520,"21,550.00","7,995",6.60,6.65,"14,690",-8.20,6.60,36.55,"80,167","7,338","11,297",
,15,3,18,41.88,"1,381.00",-349.00,780,"1,343.50","1,365.95",520,"21,600.00","21,255",7.45,7.50,"11,245",-8.30,7.50,36.17,"2,23,148","9,461","29,751",
,7,-,-,-,-,-,"2,535","1,259.30","1,332.90","2,535","21,650.00","10,855",8.50,8.60,"13,715",-8.65,8.60,35.79,"77,071","3,340","9,126",
,38,-4,10,-,"1,247.15",-370.75,65,"1,252.55","1,280.25",845,"21,700.00","27,950",9.70,9.75,520,-9.15,9.75,35.39,"2,27,081","16,310","49,455",
,16,3,23,52.66,"1,280.00",158.45,715,"1,197.30","1,226.75",520,"21,750.00","3,250",11.15,11.20,"7,800",-9.40,11.15,35.12,"1,08,759","5,015","13,590",
,100,-7,27,45.96,"1,172.00",-373.55,780,"1,147.20","1,172.70",520,"21,800.00","1,300",12.70,12.75,"8,385",-9.05,12.75,34.73,"3,04,303","33,696","71,470",
,9,-,3,-,"1,105.00",-7.70,520,"1,101.75","1,134.75",130,"21,850.00","4,355",14.70,14.75,"2,015",-8.90,14.70,34.43,"1,17,524","6,694","11,325",
,137,-44,107,32.42,"1,078.90",-336.45,130,"1,052.75","1,068.60",65,"21,900.00","8,125",16.95,17.00,"5,525",-9.30,17.00,34.15,"2,53,774","9,663","34,786",
,11,-1,4,49.58,"1,016.20",-367.85,260,"1,016.15","1,022.70",260,"21,950.00","2,990",19.70,19.75,65,-9.15,19.70,33.96,"1,20,186","9,237","16,220",
,"13,236","-1,999","7,921",30.33,973.05,-349.00,65,970.85,973.50,325,"22,000.00","2,925",22.65,22.75,"8,255",-8.30,22.60,33.59,"7,96,406","34,950","1,56,977",
,77,3,52,31.57,946.30,-353.45,260,921.60,928.40,260,"22,050.00","3,900",26.00,26.10,"5,915",-8.25,26.00,33.29,"1,59,426","10,384","19,613",
,382,5,63,28.85,885.55,-347.60,585,876.75,881.75,260,"22,100.00",65,29.85,29.90,"2,990",-7.20,29.80,33.00,"3,27,867","20,797","36,621",
,97,9,54,31.21,838.75,-348.10,260,831.10,836.05,260,"22,150.00","1,820",34.10,34.20,520,-6.40,34.10,32.67,"1,91,253","12,418","19,216",
,"1,352",103,"1,266",31.08,783.55,-360.95,130,786.80,790.35,130,"22,200.00","3,510",39.05,39.10,65,-4.75,39.05,32.43,"3,97,409","18,407","43,410",
,244,4,57,28.99,741.25,-361.85,65,740.40,745.20,130,"22,250.00","1,430",44.55,44.60,65,-2.75,44.55,32.04,"2,46,140","14,136","19,667",
,"2,801",-691,"2,656",30.94,701.00,-346.15,195,699.60,701.55,585,"22,300.00","1,430",50.75,50.85,65,-0.75,50.75,31.75,"4,54,779","22,809","55,917",
,398,-55,185,28.72,655.15,-352.80,65,655.65,660.25,65,"22,350.00","1,430",57.85,58.00,260,2.60,58.00,31.42,"1,97,456","7,501","18,182",
,"2,316",79,"2,350",29.81,611.25,-350.50,130,614.20,615.80,130,"22,400.00","2,080",65.85,66.00,455,5.10,66.00,31.25,"4,43,952","18,495","54,788",
,927,-28,853,29.31,570.00,-341.10,130,573.40,574.95,325,"22,450.00",455,74.85,74.90,65,8.25,74.55,30.88,"2,61,149","9,148","21,141",
,"22,970",864,"35,075",29.31,533.70,-336.05,65,533.30,534.40,325,"22,500.00","2,015",84.65,84.85,260,12.70,84.80,30.69,"13,56,667","49,412","1,45,281",
,"1,877",61,"1,997",28.93,489.60,-339.20,325,493.95,495.05,130,"22,550.00",390,95.75,95.95,845,17.90,95.90,30.33,"3,72,382","17,330","24,543",
