CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,977,-928,"1,403",-,"3,827.90",-489.25,65,"3,828.65","3,838.35",65,"19,000.00","1,71,015",1.15,1.20,"2,12,875",-0.40,1.15,74.23,"2,10,583","-12,532","73,946",
,"1,504",-50,748,-,"2,834.00",-464.30,195,"2,818.25","2,840.80",65,"20,000.00","1,20,835",1.95,2.00,"3,09,530",-1.55,1.95,58.83,"3,99,238","-2,550","2,29,233",
,2,-,-,-,-,-,780,"2,293.85","2,378.45",780,"20,500.00","1,21,940",2.15,2.20,"1,01,400",-2.30,2.15,49.71,"2,20,328","5,225","72,086",
,-,-,-,-,-,-,780,"2,085.75","2,425.35",780,"20,550.00","44,330",2.15,2.20,"17,290",-2.25,2.25,48.73,"27,882",704,"2,979",
,-,-,-,-,-,-,"1,690","2,124.90","2,368.45",780,"20,600.00","62,660",2.20,2.25,"74,880",-2.35,2.20,47.89,"43,296",-907,"5,687",
,-,-,-,-,-,-,780,"2,129.45","2,333.95",780,"20,650.00","45,435",2.20,2.25,"32,240",-2.45,2.20,47.04,"23,932",237,"3,477",
,-,-,-,-,-,-,780,"1,937.40","2,284.35",780,"20,700.00","43,875",2.20,2.25,"1,00,945",-2.50,2.20,45.94,"55,637","1,497","8,423",
,-,-,-,-,-,-,780,"1,893.10","2,183.95",780,"20,750.00","32,110",2.25,2.30,"22,035",-2.80,2.25,45.09,"22,418",232,"2,173",
,-,-,-,-,-,-,780,"1,925.70","2,159.10",780,"20,800.00","73,255",2.35,2.40,"76,895",-2.80,2.40,44.46,"77,240","3,486","11,496",
,6,-,6,82.57,"2,135.00",420.00,"1,690","1,822.00","2,110.60",780,"20,850.00","1,10,695",2.35,2.40,"63,050",-2.90,2.40,43.48,"29,094",-1,"6,728",
,1,-,-,-,-,-,780,"1,770.85","2,035.35","1,690","20,900.00","1,18,755",2.35,2.40,"1,35,395",-3.40,2.35,42.50,"70,485","1,498","8,558",
,3,-,-,-,-,-,780,"1,649.60","2,000.20",780,"20,950.00","1,45,535",2.45,2.55,"1,10,305",-3.75,2.45,41.73,"53,686","3,677","11,142",
,"5,511",170,"4,017",-,"1,834.65",-466.65,130,"1,829.10","1,834.45",195,"21,000.00","2,28,865",2.55,2.60,"3,42,030",-3.90,2.55,40.74,"5,53,466","-11,040","1,12,359",
,2,-,-,-,-,-,780,"1,731.35","1,831.95",780,"21,050.00","83,720",2.60,2.70,"1,02,180",-4.15,2.60,39.86,"53,028","1,876","5,031",
,2,-,-,-,-,-,780,"1,596.90","1,816.60",780,"21,100.00","1,30,390",2.85,2.90,"1,26,620",-4.45,2.85,39.51,"1,57,928",-368,"11,537",
,2,-,-,-,-,-,780,"1,640.25","1,730.20",780,"21,150.00","27,820",3.05,3.10,"15,405",-4.85,3.05,38.76,"53,833",180,"3,372",
,2,-,-,-,-,-,780,"1,592.10","1,677.40",780,"21,200.00","43,680",3.30,3.35,"41,015",-4.95,3.30,38.15,"2,78,488","11,697","32,923",
,5,-,-,-,-,-,780,"1,544.25","1,622.30",780,"21,250.00","26,650",3.55,3.65,"18,135",-5.50,3.65,37.21,"78,768","3,522","8,006",
,1,-,-,-,-,-,780,"1,480.80","1,584.80",780,"21,300.00","26,065",3.80,3.85,"31,265",-5.80,3.85,36.41,"2,18,634","22,502","46,133",
,-,-,-,-,-,-,"2,535","1,449.80","1,529.80","2,535","21,350.00","34,580",4.40,4.45,"13,325",-6.05,4.40,35.98,"69,179","3,795","8,120",
,8,-,3,61.69,"1,571.05",-357.55,130,"1,417.35","1,451.05",65,"21,400.00","16,250",4.90,4.95,"49,335",-6.70,4.95,35.37,"2,22,743","12,196","29,639",
,4,-,1,71.38,"1,570.00",69.10,715,"1,347.60","1,418.30",130,"21,450.00","18,330",5.65,5.75,"20,475",-6.55,5.75,34.99,"1,32,501","5,057","10,828",
,"1,093",-118,633,-,"1,332.00",-479.80,130,"1,334.85","1,345.75",975,"21,500.00","5,525",6.40,6.45,"38,545",-6.85,6.45,34.38,"7,45,562","19,175","1,22,512",
,6,-,1,67.95,"1,470.00",74.20,"2,470","1,251.90","1,301.00",650,"21,550.00","18,590",7.40,7.50,"14,105",-7.30,7.50,34.13,"1,33,226","8,316","12,275",
,16,4,32,-,"1,253.00",-477.00,65,"1,224.50","1,252.60",975,"21,600.00","27,820",8.40,8.50,"32,045",-7.30,8.50,33.68,"3,51,577","5,690","25,980",
,7,-,-,-,-,-,"2,535","1,149.85","1,221.55",780,"21,650.00","9,685",9.85,9.95,"9,295",-7.35,9.90,33.37,"1,34,635","3,984","9,770",
,28,-14,22,48.89,"1,149.60",-468.30,715,"1,124.95","1,155.65",390,"21,700.00","6,500",11.50,11.55,"5,590",-7.40,11.50,33.09,"4,16,260","16,067","49,212",
,14,1,26,-,"1,122.05",0.50,650,"1,083.05","1,099.85",65,"21,750.00","8,255",13.30,13.40,"4,680",-7.25,13.30,32.75,"2,11,791","6,832","15,407",
,101,-6,61,-,"1,092.00",-453.55,130,"1,031.95","1,055.80",130,"21,800.00",520,15.15,15.20,"5,980",-6.60,15.20,32.28,"5,58,675","50,342","88,116",
,7,-2,14,37.20,996.40,-116.30,260,996.80,"1,001.80",65,"21,850.00","1,560",17.70,17.80,"2,210",-5.80,17.80,32.12,"1,95,702","9,159","13,790",
,144,-37,163,-,983.05,-432.30,260,951.60,954.80,65,"21,900.00","1,820",20.60,20.65,975,-5.65,20.65,31.92,"4,43,745","14,505","39,628",
,3,-9,35,-,940.80,-443.25,"1,300",889.25,908.85,260,"21,950.00","2,145",23.90,24.00,"2,795",-4.95,23.90,31.71,"2,33,666","13,439","20,422",
,"12,495","-2,741","15,047",-,859.90,-462.15,910,858.45,860.55,65,"22,000.00","3,185",27.65,27.75,390,-3.15,27.75,31.47,"14,76,939","31,004","1,53,030",
,72,-2,82,-,830.00,-469.75,520,806.90,817.55,520,"22,050.00","3,445",31.85,31.95,"1,300",-2.25,32.00,31.21,"3,23,006","12,584","21,813",
,399,22,308,24.19,765.00,-468.15,260,767.65,770.15,65,"22,100.00","1,495",36.65,36.75,"4,290",-0.25,36.75,30.92,"5,87,030","12,933","28,757",
,103,15,153,22.95,726.25,-460.60,325,723.05,725.75,260,"22,150.00","6,825",42.00,42.10,715,1.50,42.00,30.68,"3,82,310","10,373","17,171",
,"1,420",171,"3,169",23.32,678.00,-466.50,65,679.35,681.30,130,"22,200.00","1,170",48.05,48.15,845,4.25,48.05,30.41,"7,30,631","20,341","45,344",
,244,4,190,23.92,625.00,-478.10,260,635.10,639.10,65,"22,250.00",975,54.90,55.05,"2,405",7.60,54.90,30.17,"4,51,140","14,039","19,570",
,"2,486","-1,006","4,985",24.32,592.00,-455.15,65,594.15,595.80,585,"22,300.00",260,62.30,62.45,"3,705",10.85,62.35,29.90,"8,66,290","20,863","53,971",
,408,-45,315,24.79,550.00,-457.95,65,551.95,554.85,65,"22,350.00",130,71.15,71.35,455,15.85,71.25,29.66,"3,98,038","5,997","16,678",
,"2,559",322,"5,656",25.12,513.00,-448.75,65,512.25,513.75,65,"22,400.00","2,080",80.90,81.10,"1,560",20.00,80.90,29.44,"8,51,335","12,599","48,892",
,"1,021",66,"2,008",24.61,472.05,-439.05,65,472.85,474.20,65,"22,450.00",390,91.55,91.80,"2,015",25.25,91.55,29.18,"5,03,276","9,001","20,994",
,"21,718",-388,"70,759",24.78,434.80,-434.95,780,435.15,436.00,845,"22,500.00","1,430",103.50,103.75,"1,170",31.60,103.70,28.95,"24,85,347","27,575","1,23,444",
,"2,149",333,"5,299",25.25,399.60,-429.20,130,398.30,399.15,195,"22,550.00",260,117.10,117.25,260,39.10,117.10,28.77,"7,17,450","12,055","19,268",
,"8,308",653,"31,738",24.78,364.00,-415.70,130,363.20,364.00,65,"22,600.00",390,131.85,132.15,780,47.05,131.85,28.54,"11,12,522","10,714","49,590",
,"2,696",592,"13,978",24.91,330.00,-412.10,65,329.75,330.35,65,"22,650.00",585,148.20,148.50,455,55.60,148.55,28.34,"5,49,220","8,127","16,782",
,"13,560","3,512","82,100",24.87,298.00,-404.75,130,297.60,298.00,195,"22,700.00",455,166.20,166.50,650,65.75,166.50,28.18,"11,80,695","13,638","48,301",
,"5,706","2,381","53,551",24.90,267.90,-396.05,455,267.40,267.80,195,"22,750.00","1,885",186.00,186.30,195,76.65,186.20,28.05,"7,77,507","10,649","22,302",
,"36,389","21,024","3,21,242",24.72,239.35,-382.80,65,239.00,239.35,390,"22,800.00",195,207.45,207.75,195,88.55,207.80,27.98,"20,07,124","33,336","78,809",
,"23,461","21,708","2,59,541",24.72,212.90,-366.45,65,212.55,212.80,390,"22,850.00",780,230.85,231.25,"1,105",101.35,230.90,27.86,"11,83,982","30,958","39,205",
,"80,084","66,175","11,51,711",24.65,187.85,-353.90,195,187.60,187.90,195,"22,900.00",780,255.60,256.00,"1,105",114.15,255.60,27.77,"26,87,377","43,728","75,897",
,"50,876","48,430","11,37,870",24.59,164.90,-338.75,260,164.90,165.20,845,"22,950.00",455,283.00,283.50,"1,040",129.15,282.95,27.75,"18,78,448","20,735","31,114",
,"1,72,148","1,25,450","28,85,142",24.59,144.15,-324.85,975,144.10,144.35,325,"23,000.00",195,311.70,312.35,325,145.05,311.90,27.70,"38,32,133","18,377","1,29,021",
,"51,251","45,951","11,89,387",24.57,125.20,-308.30,260,125.30,125.45,65,"23,050.00",65,342.75,343.15,65,161.75,343.15,27.82,"11,65,225","9,557","21,762",
,"85,002","72,292","17,38,288",24.56,108.50,-289.85,845,108.30,108.55,"2,925","23,100.00",65,376.45,376.90,195,179.75,376.65,27.94,"12,97,364","5,411","33,186",
,"36,771","30,927","7,49,869",24.59,93.65,-271.05,455,93.45,93.65,845,"23,150.00",65,410.95,411.80,65,197.10,410.85,28.12,"3,61,581","-5,888","9,332",
,"1,09,275","82,447","15,61,846",24.66,80.30,-254.70,455,80.30,80.45,"1,430","23,200.00",65,447.95,448.95,325,215.85,447.60,28.27,"5,96,145","-12,581","38,096",
,"38,227","28,556","6,03,683",24.75,69.00,-236.10,390,68.85,69.00,"3,120","23,250.00",130,486.00,487.00,65,235.40,487.25,28.54,"1,41,993","-5,848","10,100",
,"87,203","46,788","14,27,609",24.88,59.20,-218.25,975,59.05,59.20,"1,755","23,300.00",65,526.60,527.75,65,253.70,526.35,29.02,"2,64,661","-26,228","19,168",
,"34,007","18,430","5,24,573",25.07,50.55,-200.65,"2,210",50.55,50.65,"1,040","23,350.00",260,568.50,569.85,65,275.15,569.60,29.04,"51,172","-6,339","5,842",
,"75,261","33,600","10,99,198",25.26,43.30,-181.40,"6,435",43.25,43.40,"6,175","23,400.00",195,610.60,612.15,195,291.00,610.60,29.83,"1,11,082","-14,784","16,516",
